Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value,sentiment_score,Foreign Investor Room,Remaining Room Shares,Remaining Room %,Matched Buy Volume,Matched Buy Value,Matched Sell Volume,Matched Sell Value,Negotiated Buy Volume,Negotiated Buy Value,Negotiated Sell Volume,Negotiated Sell Value,Total Buy Volume,Total Buy Value,Total Sell Volume,Total Sell Value,EPS,P/E,P/B,P/S,Loi nhuan,GT_Khop,KL_Khop,KL_Ban,KL_Mua
2024-04-09,1432500,161738,143506483,113000,400,0.36,1432500,161738,1.0,622284748.0,0.0,0.0,15.0,0.0,13148.0,1479.0,0.0,0.0,0.0,0.0,15.0,0.0,13148.0,1479.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-10,1982020,227719,144522458,113800,800,0.71,1791100,204637,1.0,622284748.0,0.0,0.0,844.0,91.0,100.0,11.0,190920.0,23082.0,190920.0,23082.0,191764.0,23173.0,191020.0,23094.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-11,1623300,186677,145919424,114900,1100,0.97,1549400,177683,0.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,73900.0,8994.0,73900.0,8994.0,73900.0,8994.0,73900.0,8994.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-12,1862520,216516,146681405,115500,600,0.52,1367300,157333,2.0,622284748.0,13148.0,0.0,13100.0,1518.0,0.0,0.0,390220.0,47958.0,390220.0,47958.0,403320.0,49476.0,390220.0,47958.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-15,4289300,491287,141728526,111600,-3900,-3.38,3701900,418743,1.0,622284748.0,0.0,0.0,100.0,12.0,0.0,0.0,587400.0,72544.0,587400.0,72544.0,587500.0,72555.0,587400.0,72544.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-16,4523200,513918,143506483,113000,1400,1.25,3642700,408786,2.0,622284748.0,0.0,0.0,0.0,0.0,7701.0,866.0,880500.0,105132.0,880500.0,105132.0,880500.0,105132.0,888201.0,105997.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-17,2998100,344269,141982520,111800,-1200,-1.06,1943300,218044,1.0,622284748.0,0.0,0.0,0.0,0.0,10933.0,1226.0,972500.0,117575.0,972500.0,117575.0,972500.0,117575.0,983433.0,118801.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-19,7851100,887183,138426607,109000,-2800,-2.5,5361100,589379,0.0,622284748.0,0.0,0.0,0.0,0.0,6600.0,727.0,2490000.0,297804.0,2490000.0,297804.0,2490000.0,297804.0,2496600.0,298531.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-22,2505218,276687,140077567,110300,1300,1.19,2397300,264104,2.0,622284748.0,0.0,0.0,0.0,0.0,21900.0,2417.0,107900.0,12581.0,107918.0,12581.0,107900.0,12581.0,129818.0,14998.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-23,4233700,472701,142617505,112300,2000,1.81,4037600,451063,1.0,622284748.0,0.0,0.0,0.0,0.0,0.0,0.0,98600.0,11635.0,98600.0,11635.0,98600.0,11635.0,98600.0,11635.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-24,10945700,1299239,152523262,120100,7800,6.95,10158700,1204720,2.0,622284748.0,0.0,0.0,1800.0,204.0,5150.0,612.0,787000.0,94519.0,787000.0,94519.0,788800.0,94723.0,792150.0,95131.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-25,9215500,1158686,156460165,123200,3100,2.58,5707700,708164,0.0,622284748.0,21918.0,0.0,0.0,0.0,3200.0,398.0,3487800.0,448182.0,3465900.0,445368.0,3487800.0,448182.0,3469100.0,445766.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-04-26,6053000,769750,156460165,123200,0,0.0,3396500,419623,2.0,622284748.0,0.0,0.0,0.0,0.0,13000.0,1604.0,2656500.0,350127.0,2656500.0,350127.0,2656500.0,350127.0,2669500.0,351730.0,5541,4.66,21.02,10.5,1798030000000.0,7784914,68853100,121896600,126321700
2024-05-02,6888000,890470,161667038,127300,4100,3.33,3469300,439885,0.0,622284748.0,5150.0,0.0,5100.0,631.0,19300.0,2413.0,3418700.0,450585.0,3418700.0,450585.0,3423800.0,451216.0,3438000.0,452997.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-03,4665500,601728,159889081,125900,-1400,-1.1,3191200,403104,2.0,622284748.0,0.0,0.0,3200.0,410.0,100.0,13.0,1474300.0,198217.0,1474300.0,198217.0,1477500.0,198627.0,1474400.0,198230.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-06,2744600,346861,162048028,127600,1700,1.35,2704600,341473,1.0,622284748.0,0.0,0.0,13000.0,1645.0,0.0,0.0,40000.0,5388.0,40000.0,5388.0,53000.0,7033.0,40000.0,5388.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-07,3874168,508754,166746913,131300,3700,2.9,3122800,406192,1.0,622284748.0,19454.0,0.0,19400.0,2483.0,4200.0,546.0,738400.0,100792.0,738400.0,100792.0,757800.0,103275.0,742600.0,101338.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-08,3824500,503976,166365923,131000,-300,-0.23,3017800,392617,2.0,622284748.0,0.0,0.0,100.0,13.0,95.0,0.0,806700.0,111359.0,806700.0,111359.0,806800.0,111372.0,806795.0,111359.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-09,3041600,399651,165476944,130300,-700,-0.53,2203300,288297,1.0,622284748.0,0.0,0.0,0.0,0.0,3917.0,510.0,638248.0,86967.0,638300.0,86967.0,638248.0,86967.0,642217.0,87478.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-10,4168700,543191,166365923,131000,700,0.54,3789700,494172,2.0,622284748.0,0.0,0.0,0.0,0.0,380200.0,49773.0,255000.0,33992.0,255000.0,33992.0,255000.0,33992.0,635200.0,83764.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-13,4360200,577287,164714963,129700,-1300,-0.99,1852200,240663,1.0,622284748.0,0.0,0.0,0.0,0.0,39400.0,5124.0,2328000.0,314280.0,2328000.0,314280.0,2328000.0,314280.0,2367400.0,319404.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-14,3151900,414149,165730938,130500,800,0.62,2304600,300958,1.0,622284748.0,0.0,0.0,3969.0,507.0,152.0,13.0,847300.0,113192.0,847300.0,113192.0,851269.0,113699.0,847452.0,113205.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-15,4717700,627531,170302826,134100,3600,2.76,3653100,485070,2.0,622284748.0,0.0,0.0,200.0,26.0,800.0,106.0,776600.0,105422.0,396600.0,54344.0,776800.0,105448.0,397400.0,54450.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-16,4043900,543764,171953786,135400,1300,0.97,3119000,423780,1.0,622284748.0,0.0,0.0,5400.0,732.0,277700.0,37840.0,327400.0,45137.0,293400.0,40464.0,332800.0,45869.0,571100.0,78304.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-17,3049001,410104,170810814,134500,-900,-0.66,2306400,310275,1.0,622284748.0,0.0,0.0,152.0,14.0,491900.0,66034.0,524600.0,70891.0,524600.0,70891.0,524752.0,70904.0,1016500.0,136925.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-20,3143500,423354,168905860,133000,-1500,-1.12,2013500,270495,2.0,622284748.0,0.0,0.0,800.0,108.0,27900.0,3769.0,1100000.0,148838.0,1100000.0,148838.0,1100800.0,148946.0,1127900.0,152607.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-21,4206300,566508,172715767,136000,3000,2.26,3471900,467061,2.0,622284748.0,0.0,0.0,277700.0,37212.0,607768.0,81607.0,734400.0,99449.0,734400.0,99449.0,1012100.0,136661.0,1342168.0,181056.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-22,7132400,970471,175255705,138000,2000,1.47,4511800,621721,0.0,622284748.0,0.0,0.0,455900.0,62845.0,1006688.0,138773.0,26900.0,3678.0,26900.0,3678.0,482800.0,66523.0,1033588.0,142451.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-23,3769000,514269,174620720,137500,-500,-0.36,3621500,493717,0.0,622284748.0,0.0,0.0,0.0,0.0,1372915.0,187149.0,47500.0,6752.0,47500.0,6752.0,47500.0,6752.0,1420415.0,193901.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-24,14134601,1885240,167508895,131900,-5600,-4.07,13375600,1782682,1.0,622284748.0,0.0,0.0,607768.0,83182.0,3271747.0,438575.0,500000.0,67180.0,500000.0,67180.0,1107768.0,150362.0,3771747.0,505755.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-27,6121100,808830,168651867,132800,900,0.68,5157800,682267,2.0,622284748.0,0.0,0.0,1006688.0,133885.0,786500.0,104073.0,778300.0,103290.0,778300.0,103290.0,1784988.0,237175.0,1564800.0,207363.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-28,5419500,728079,173985736,137000,4200,3.16,4625300,623833,0.0,622284748.0,0.0,0.0,1122915.0,150601.0,534012.0,71707.0,250000.0,33500.0,0.0,0.0,1372915.0,184101.0,534012.0,71707.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-29,6107600,830817,172334776,135700,-1300,-0.95,5837600,793587,0.0,622284748.0,603909.0,0.05,2417838.0,328272.0,1668251.0,226792.0,250000.0,34500.0,0.0,0.0,2667838.0,362772.0,1668251.0,226792.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-30,7301300,970579,171445798,135000,-700,-0.52,7261300,965211,0.0,622284748.0,1349609.0,0.11,1348900.0,179663.0,2876100.0,382399.0,0.0,0.0,0.0,0.0,1348900.0,179663.0,2876100.0,382399.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-05-31,2696600,362972,170937811,134600,-400,-0.3,2633500,354488,0.0,622284748.0,534061.0,0.04,533900.0,71756.0,178700.0,24089.0,63100.0,8484.0,63100.0,8484.0,597000.0,80241.0,241800.0,32573.0,5541,4.66,21.02,10.5,1798030000000.0,6978395,60367000,102734100,121793000
2024-06-03,7773600,1062261,173858739,136900,2300,1.71,7773600,1062261,2.0,622284748.0,1668251.0,0.13,1244000.0,169893.0,1988200.0,271684.0,0.0,0.0,0.0,0.0,1244000.0,169893.0,1988200.0,271684.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-04,7049800,979413,176652671,139100,2200,1.61,7009800,973897,2.0,622284748.0,3300052.0,0.26,1943500.0,270084.0,1234600.0,171566.0,0.0,0.0,0.0,0.0,1943500.0,270084.0,1234600.0,171566.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-05,6341801,898304,177922639,140100,1000,0.72,6321600,895476,2.0,622284748.0,1535081.0,0.12,1534600.0,217748.0,1972800.0,278766.0,0.0,0.0,0.0,0.0,1534600.0,217748.0,1972800.0,278766.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-06,5231800,734435,177287655,139600,-500,-0.36,5211800,731829,2.0,622284748.0,1988231.0,0.16,333900.0,46858.0,1928800.0,271071.0,0.0,0.0,0.0,0.0,333900.0,46858.0,1928800.0,271071.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-07,3976600,561621,180335580,142000,2400,1.72,3756900,530586,1.0,622284748.0,2888237.0,0.23,881800.0,124524.0,1058700.0,149496.0,219700.0,31035.0,219700.0,31035.0,1101500.0,155559.0,1278400.0,180531.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-10,3775400,542408,182875518,144000,2000,1.41,3775400,542408,1.0,622284748.0,3942973.0,0.31,130800.0,18797.0,1329500.0,190834.0,0.0,0.0,0.0,0.0,130800.0,18797.0,1329500.0,190834.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-11,8418500,1236119,186050440,146500,2500,1.74,6327300,915257,2.0,622284748.0,5704776.0,0.45,244800.0,35410.0,2045700.0,295391.0,0.0,0.0,0.0,0.0,244800.0,35410.0,2045700.0,295391.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-12,11215500,1464082,167635892,132000,5500,4.35,11215500,1464082,2.0,622284748.0,5971206.0,0.47,547440.0,71413.0,4328151.0,566705.0,0.0,0.0,0.0,0.0,547440.0,71413.0,4328151.0,566705.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-13,8676200,1137718,165095954,130000,-2000,-1.52,8136200,1066858,2.0,622284748.0,6954432.0,0.55,346290.0,45429.0,5350835.0,701527.0,0.0,0.0,500000.0,65564.0,346290.0,45429.0,5850835.0,767091.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-14,6607200,861029,166365923,131000,1000,0.77,6406200,834853,0.0,622284748.0,7931127.0,0.62,1069099.0,138974.0,2210300.0,287481.0,0.0,0.0,0.0,0.0,1069099.0,138974.0,2210300.0,287481.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-17,4867600,631221,163571991,128800,-2200,-1.68,4867600,631221,1.0,622284748.0,11965986.0,0.94,293292.0,37964.0,1149700.0,148963.0,0.0,0.0,0.0,0.0,293292.0,37964.0,1149700.0,148963.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-18,6936800,893871,162556016,128000,-800,-0.62,6680000,860576,2.0,622284748.0,17294378.0,1.36,522443.0,67085.0,2860719.0,368915.0,75800.0,9765.0,75800.0,9765.0,598243.0,76850.0,2936519.0,378680.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-19,10269200,1321426,192048921,131500,3500,2.73,9669200,1249784,1.0,622284748.0,18991302.0,1.3,513376.0,66712.0,2228800.0,288611.0,0.0,0.0,0.0,0.0,513376.0,66712.0,2228800.0,288611.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-20,11060700,1477679,194677727,133300,1800,1.37,10465700,1404641,1.0,622284748.0,19489204.0,1.33,580798.0,77651.0,2555814.0,343051.0,0.0,0.0,0.0,0.0,580798.0,77651.0,2555814.0,343051.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-21,7653300,1034712,198766982,136100,2800,2.1,7653300,1034712,0.0,622284748.0,21334370.0,1.46,1019553.0,137267.0,2696000.0,364332.0,0.0,0.0,0.0,0.0,1019553.0,137267.0,2696000.0,364332.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-24,14390900,1936123,192925190,132100,-4000,-2.94,13186900,1762003,1.0,622284748.0,22155418.0,1.52,1487752.0,198294.0,5900038.0,788716.0,0.0,0.0,0.0,0.0,1487752.0,198294.0,5900038.0,788716.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-25,14050143,1821409,189858249,130000,-2100,-1.59,13706800,1776774,1.0,622284748.0,23101114.0,1.58,1610118.0,208693.0,3650978.0,473598.0,343343.0,44635.0,343343.0,44635.0,1953461.0,253327.0,3994321.0,518233.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-26,7221400,941975,192487055,131800,1800,1.38,7147400,932098,1.0,622284748.0,24722275.0,1.69,1098839.0,144003.0,3020000.0,393613.0,0.0,0.0,0.0,0.0,1098839.0,144003.0,3020000.0,393613.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-27,6527700,863129,193947503,132800,1000,0.76,6403700,847765,1.0,622284748.0,29840072.0,2.04,780841.0,103548.0,1547500.0,204608.0,0.0,0.0,0.0,0.0,780841.0,103548.0,1547500.0,204608.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-06-28,6633000,873567,190588473,130500,-2300,-1.73,6633000,873567,0.0,622284748.0,32664870.0,2.24,826180.0,108263.0,2761305.0,364069.0,0.0,0.0,0.0,0.0,826180.0,108263.0,2761305.0,364069.0,5541,4.66,21.02,10.5,1798030000000.0,11581548,87243800,150777000,154735700
2024-07-01,6454000,833530,187813621,128600,-1900,-1.46,6376000,822641,1.0,622284748.0,35323162.0,2.42,271708.0,35071.0,2200514.0,283986.0,0.0,0.0,0.0,0.0,271708.0,35071.0,2200514.0,283986.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-02,7560001,983351,186937352,128000,-600,-0.47,6720600,873661,0.0,622284748.0,34924968.0,2.39,1855694.0,242009.0,1505200.0,195627.0,839400.0,109691.0,839400.0,109691.0,2695094.0,351700.0,2344600.0,305317.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-03,7884101,1038018,191318697,131000,3000,2.34,7634100,1005103,1.0,622284748.0,36418149.0,2.49,1178124.0,155150.0,1267630.0,166899.0,250000.0,32915.0,250000.0,32915.0,1428124.0,188065.0,1517630.0,199814.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-04,8117900,1088488,198328847,135800,4800,3.66,8117900,1088488,2.0,622284748.0,37245083.0,2.55,1283580.0,172278.0,1122335.0,149950.0,0.0,0.0,0.0,0.0,1283580.0,172278.0,1122335.0,149950.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-05,7809400,1080849,202564147,138700,2900,2.14,7789400,1078089,1.0,622284748.0,37950269.0,2.6,821014.0,113400.0,2777090.0,384391.0,0.0,0.0,0.0,0.0,821014.0,113400.0,2777090.0,384391.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-08,6105700,848068,203878550,139600,900,0.65,5865700,814734,2.0,622284748.0,38567480.0,2.64,692419.0,96232.0,2587900.0,359402.0,240000.0,33336.0,240000.0,33336.0,932419.0,129567.0,2827900.0,392737.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-09,9696100,1329763,200811609,137500,-2100,-1.5,9676100,1327023,2.0,622284748.0,39710815.0,2.72,1060600.0,145458.0,6018900.0,825456.0,0.0,0.0,0.0,0.0,1060600.0,145458.0,6018900.0,825456.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-10,6337700,859025,195700041,134000,-3500,-2.55,6294700,853168,0.0,622284748.0,41448078.0,2.84,386200.0,52405.0,2911500.0,395219.0,0.0,0.0,0.0,0.0,386200.0,52405.0,2911500.0,395219.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-11,6882100,919164,194239593,133000,-1000,-0.75,6842100,913790,1.0,622284748.0,43649442.0,2.99,1003900.0,134242.0,3980000.0,531602.0,0.0,0.0,0.0,0.0,1003900.0,134242.0,3980000.0,531602.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-12,3590000,480953,195407951,133800,800,0.6,3553400,476050,2.0,622284748.0,48706339.0,3.34,559400.0,74768.0,920000.0,123197.0,36600.0,4903.0,36600.0,4903.0,596000.0,79671.0,956600.0,128101.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-15,3067200,408778,193801458,132700,-1100,-0.82,3067200,408778,0.0,622284748.0,51058320.0,3.5,868300.0,115500.0,1002200.0,133642.0,0.0,0.0,0.0,0.0,868300.0,115500.0,1002200.0,133642.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-16,4322200,576151,195700041,134000,1300,0.98,4002300,533549,2.0,622284748.0,54211887.0,3.71,1625500.0,216556.0,1165500.0,155293.0,349900.0,46604.0,349900.0,46604.0,1975400.0,263160.0,1515400.0,201898.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-17,6970100,921795,192633100,131900,-2100,-1.57,6970100,921795,0.0,715619552.0,55004105.0,3.77,2234900.0,294587.0,1002800.0,133060.0,0.0,0.0,0.0,0.0,2234900.0,294587.0,1002800.0,133060.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-18,10825201,1395242,186791308,127900,-4000,-3.03,10800200,1391942,2.0,715619552.0,53771380.0,3.68,1061600.0,136943.0,3792600.0,488940.0,0.0,0.0,0.0,0.0,1061600.0,136943.0,3792600.0,488940.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-19,6576700,836050,184016456,126000,-1900,-1.49,6551700,832650,0.0,715619552.0,53875211.0,3.69,428100.0,54170.0,2220900.0,282318.0,0.0,0.0,0.0,0.0,428100.0,54170.0,2220900.0,282318.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-22,6216900,772289,181241605,124100,-1900,-1.51,6216900,772289,2.0,715619552.0,54449861.0,3.73,1989600.0,246999.0,1492400.0,185691.0,0.0,0.0,0.0,0.0,1989600.0,246999.0,1492400.0,185691.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-23,5411600,684282,183286232,125500,1400,1.13,5311600,672732,1.0,715619552.0,56263395.0,3.85,1080800.0,137041.0,1069400.0,135678.0,0.0,0.0,0.0,0.0,1080800.0,137041.0,1069400.0,135678.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-24,4171700,523540,184016456,126000,500,0.4,4151700,520860,1.0,715619552.0,57412334.0,3.93,851500.0,106816.0,1468400.0,184199.0,20000.0,2680.0,0.0,0.0,871500.0,109496.0,1468400.0,184199.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-25,3248401,405880,182556008,125000,-1000,-0.79,2563400,319819,0.0,715619552.0,58033170.0,3.97,798400.0,99653.0,601200.0,74952.0,620000.0,77354.0,620000.0,77354.0,1418400.0,177006.0,1221200.0,152306.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-26,6683700,826250,186937352,128000,3000,2.4,3951100,497176,0.0,715619552.0,58400204.0,4.0,1264600.0,159135.0,906000.0,113561.0,1182600.0,148810.0,1182600.0,148810.0,2447200.0,307945.0,2088600.0,262371.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-29,5009800,651610,188397801,129000,1000,0.78,4859800,631075,1.0,715619552.0,58619990.0,4.01,2038800.0,264706.0,1635600.0,212329.0,0.0,0.0,0.0,0.0,2038800.0,264706.0,1635600.0,212329.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-30,2423800,309900,186937352,128000,-1000,-0.78,2373800,303850,0.0,715619552.0,57192297.0,3.92,2038800.0,264706.0,1635600.0,212329.0,0.0,0.0,0.0,0.0,2038800.0,264706.0,1635600.0,212329.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
2024-07-31,3094200,395468,187813621,128600,600,0.47,2869200,366616,0.0,715619552.0,57363527.0,3.93,1427700.0,182700.0,757000.0,96682.0,225000.0,28853.0,225000.0,28853.0,1652700.0,211553.0,982000.0,125536.0,5618,5.81,23.23,12.5,1873810000000.0,20390648,152347900,211010300,215201000
