No.,Indicator,Industry,Stocks,2023,2024,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
11,2. Trả trước cho người bán ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","674,229,297,888","718,417,472,055","796,707,165,569","916,889,629,760","694,529,859,025","836,559,398,580","901,245,877,689","938,808,361,017","821,432,886,429","933,409,267,583","694,529,859,025","836,559,398,580","576,742,808,686","718,422,406,129"
12,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","176,770,894,412","136,097,256,629","227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","231,842,985,934","190,429,912,043","227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","182,965,994,736","136,097,256,629"
13,5. Phải thu về cho vay ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,143,658,091,174","1,983,890,640,345","1,092,502,665,388","1,502,372,301,126","1,094,930,413,572","2,079,770,985,872","1,401,793,389,227","911,694,856,916","1,080,345,026,222","954,587,586,126","1,094,930,413,572","2,079,770,985,872","1,166,763,562,649","2,045,475,211,166"
14,6. Phải thu ngắn hạn khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,757,576,549,166","1,559,303,213,073","1,746,106,471,165","1,859,638,346,668","1,877,769,672,364","1,819,732,838,768","2,000,421,531,247","1,787,624,256,552","1,793,568,658,520","1,862,679,232,305","1,877,769,672,364","1,819,732,838,768","1,768,399,929,752","1,502,860,596,419"
15,7. Dự phòng phải thu ngắn hạn khó đòi,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-3,089,752,021,675","-2,552,030,498,767","-2,270,595,738,131","-2,655,472,851,598","-2,371,349,309,921","-2,463,893,059,886","-2,333,042,946,186","-3,130,040,348,501","-2,270,805,175,913","-2,623,436,847,771","-2,371,349,309,921","-2,463,893,059,886","-2,665,478,237,611","-2,551,793,330,722"
16,8. Tài sản thiếu chờ xử lý,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,"32,400,100",,"32,400,100",,,,"32,400,100",,"32,400,100",,"32,400,100",
17,IV. Hàng tồn kho,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,433,802,097,053","2,420,841,959,375","3,236,163,471,522","2,957,862,829,064","2,983,886,238,143","3,272,121,810,546","3,261,217,185,827","2,791,252,766,351","3,220,171,802,826","2,953,305,273,685","2,983,886,238,143","3,272,121,810,546","2,464,121,659,612","2,454,694,170,924"
18,1. Hàng tồn kho,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,692,307,365,150","2,684,286,460,902","3,439,365,513,557","3,215,900,425,427","3,183,814,097,120","3,508,543,106,160","3,467,783,367,963","3,044,938,436,129","3,423,373,844,861","3,201,468,198,089","3,183,814,097,120","3,508,543,106,160","2,664,153,064,798","2,692,353,166,303"
19,2. Dự phòng giảm giá hàng tồn kho,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-258,505,268,097","-263,444,501,527","-203,202,042,035","-258,037,596,363","-199,927,858,977","-236,421,295,614","-206,566,182,136","-253,685,669,778","-203,202,042,035","-248,162,924,404","-199,927,858,977","-236,421,295,614","-200,031,405,186","-237,658,995,379"
20,V. Tài sản ngắn hạn khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,172,882,607,142","1,175,227,843,545","1,184,020,129,059","1,342,981,715,784","1,336,213,684,956","1,454,194,722,889","1,172,818,502,693","1,382,574,091,447","1,202,961,057,895","1,344,823,147,476","1,336,213,684,956","1,454,194,722,889","1,336,683,263,794","1,175,747,440,902"
21,1. Chi phí trả trước ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","513,010,745,737","457,895,215,376","595,176,567,377","649,805,970,037","712,958,680,559","688,448,719,920","615,791,716,078","711,462,799,042","614,560,633,883","664,676,468,774","712,958,680,559","688,448,719,920","665,175,798,139","458,147,598,188"
22,2. Thuế GTGT còn được khấu trừ,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","581,538,955,308","659,748,628,407","542,770,185,447","582,241,177,991","573,759,027,569","691,725,129,857","465,155,482,004","577,290,333,009","542,414,525,909","580,315,544,530","573,759,027,569","691,725,129,857","584,273,861,845","659,750,453,199"
23,3. Thuế và các khoản khác phải thu của nhà nước,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","78,332,906,097","57,583,999,762","46,073,376,235","110,934,567,756","49,495,976,828","74,020,873,112","91,871,304,611","93,820,959,396","45,985,898,103","99,831,134,172","49,495,976,828","74,020,873,112","87,233,603,810","57,849,389,515"
24,B. TÀI SẢN DÀI HẠN,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","33,214,491,609,207","31,099,061,474,537","31,335,033,116,211","33,312,543,048,891","32,142,251,669,573","33,322,833,208,379","30,617,660,643,414","34,224,259,159,420","31,394,766,784,750","33,801,211,983,257","32,142,251,669,573","33,322,833,208,379","33,219,435,524,438","31,098,827,517,483"
25,I. Các khoản phải thu dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,499,521,722,602","506,112,497,094","1,590,519,103,712","862,356,489,037","1,610,955,789,857","559,043,967,504","1,219,895,962,137","1,843,132,477,565","1,620,042,858,180","1,323,410,570,210","1,610,955,789,857","559,043,967,504","1,470,275,791,924","506,112,497,094"
26,1. Phải thu dài hạn của khách hàng,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,,"24,385,321,108",,,,,,,,,,
27,2. Trả trước cho người bán dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","13,000,000,000","13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000"
28,4. Phải thu nội bộ dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,,,,,,"5,500,000,000",,,,,,
29,5. Phải thu về cho vay dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,128,573,954,319","428,450,194,802","1,302,426,551,860","841,605,270,717","1,309,988,657,349","408,376,905,014","935,417,592,281","1,396,891,207,717","1,331,966,965,009","1,389,389,985,717","1,309,988,657,349","408,376,905,014","1,113,026,247,072","428,450,194,802"
30,6. Phải thu dài hạn khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","410,320,250,920","462,354,448,134","340,465,034,489","478,196,377,735","353,339,615,145","507,827,388,690","336,850,852,493","480,113,752,485","340,448,375,808","478,166,149,495","353,339,615,145","507,827,388,690","409,622,027,489","462,354,448,134"
31,7. Dự phòng phải thu dài hạn khó đòi,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-52,372,482,637","-397,692,145,842","-52,372,482,637","-494,830,480,523","-52,372,482,637","-370,160,326,200","-52,372,482,637","-52,372,482,637","-52,372,482,637","-557,145,565,002","-52,372,482,637","-370,160,326,200","-52,372,482,637","-397,692,145,842"
32,II. Tài sản cố định,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","18,951,098,716,744","17,416,611,387,988","17,539,843,711,786","19,283,247,158,777","18,483,395,682,926","19,399,911,238,346","17,396,414,831,410","18,979,786,209,261","17,572,075,474,258","19,475,855,569,104","18,483,395,682,926","19,399,911,238,346","18,947,885,999,436","17,416,551,177,990"
33,1. Tài sản cố định hữu hình,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","16,973,970,461,372","15,211,249,036,566","15,628,038,150,176","17,094,820,492,988","16,597,667,805,710","17,219,785,897,561","15,399,374,960,764","16,764,892,053,316","15,638,182,862,603","17,086,328,028,494","16,597,667,805,710","17,219,785,897,561","16,971,438,528,529","15,211,188,826,568"
34, Nguyên giá,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","30,788,427,592,732","28,375,473,784,650","28,357,419,925,960","32,091,066,930,245","29,886,335,587,169","31,927,067,841,263","27,598,783,819,155","31,178,167,743,821","28,370,604,187,448","32,091,793,450,276","29,886,335,587,169","31,927,067,841,263","30,761,104,687,894","28,348,617,669,559"
35, Giá trị hao mòn lũy kế,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-13,814,457,131,360","-13,164,224,748,084","-12,729,381,775,784","-14,996,246,437,257","-13,288,667,781,459","-14,707,281,943,702","-12,199,408,858,391","-14,413,275,690,505","-12,732,421,324,845","-15,005,465,421,782","-13,288,667,781,459","-14,707,281,943,702","-13,789,666,159,365","-13,137,428,842,991"
36,2. Tài sản cố định thuê tài chính,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","217,461,208,574","144,356,355,678","225,966,263,046","206,944,114,838","221,024,899,668","200,860,719,162","257,123,294,083","212,172,710,822","248,061,217,221","206,944,114,838","221,024,899,668","200,860,719,162","217,461,208,574","144,356,355,678"
37, Nguyên giá,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","265,264,968,238","152,226,202,693","264,022,132,070","264,744,002,826","263,483,703,054","261,554,219,720","311,410,051,870","264,971,949,842","311,252,702,570","264,744,002,826","263,483,703,054","261,554,219,720","265,264,968,238","152,226,202,693"
38, Giá trị hao mòn lũy kế,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-47,803,759,664","-7,869,847,015","-38,055,869,024","-57,799,887,988","-42,458,803,386","-60,693,500,558","-54,286,757,787","-52,799,239,020","-63,191,485,349","-57,799,887,988","-42,458,803,386","-60,693,500,558","-47,803,759,664","-7,869,847,015"
39,3. Tài sản cố định vô hình,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,759,667,046,798","2,061,005,995,744","1,685,839,298,564","1,981,482,550,951","1,664,702,977,548","1,979,264,621,623","1,739,916,576,563","2,002,721,445,123","1,685,831,394,434","2,182,583,425,772","1,664,702,977,548","1,979,264,621,623","1,758,986,262,333","2,061,005,995,744"
40, Nguyên giá,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","3,576,943,903,039","3,687,019,675,981","3,500,047,299,470","3,986,985,534,024","3,408,045,440,948","3,797,310,389,079","3,482,927,527,874","3,914,689,039,115","3,500,018,678,900","4,190,833,069,713","3,408,045,440,948","3,797,310,389,079","3,572,584,720,021","3,687,019,675,981"
41, Giá trị hao mòn lũy kế,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,817,276,856,241","-1,626,013,680,237","-1,814,208,000,906","-2,005,502,983,073","-1,743,342,463,400","-1,818,045,767,456","-1,743,010,951,311","-1,911,967,593,992","-1,814,187,284,466","-2,008,249,643,941","-1,743,342,463,400","-1,818,045,767,456","-1,813,598,457,688","-1,626,013,680,237"
42,III. Bất động sản đầu tư,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","37,872,771,960","35,997,543,744","35,877,537,785","36,935,157,852","35,402,896,445","36,466,350,798","36,373,135,955","37,403,964,906","35,877,537,785","36,948,238,407","35,402,896,445","36,466,350,798","37,872,771,960","35,997,543,744"
43, Nguyên giá,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","76,676,483,904","76,676,483,904","65,249,015,881","76,676,483,904","65,249,015,881","76,676,483,904","65,249,015,881","76,676,483,904","65,249,015,881","76,676,483,904","65,249,015,881","76,676,483,904","76,676,483,904","76,676,483,904"
44, Giá trị hao mòn lũy kế,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-38,803,711,944","-40,678,940,160","-29,371,478,096","-39,741,326,052","-29,846,119,436","-40,210,133,106","-28,875,879,926","-39,272,518,998","-29,371,478,096","-39,728,245,497","-29,846,119,436","-40,210,133,106","-38,803,711,944","-40,678,940,160"
45,IV. Tài sản dở dang dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,964,501,588,210","3,651,208,546,680","3,476,673,488,932","3,246,757,396,866","3,021,745,287,197","3,313,177,238,891","2,888,751,605,585","3,143,770,084,914","3,476,702,449,891","3,241,392,633,083","3,021,745,287,197","3,313,177,238,891","2,965,016,185,137","3,650,957,716,293"
46,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","380,000,000",,"380,000,000","190,000,000","380,000,000","190,000,000","240,000,000","380,000,000","380,000,000","190,000,000","380,000,000","190,000,000","380,000,000",
47,2. Chi phí xây dựng cơ bản dở dang,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,964,121,588,210","3,651,208,546,680","3,476,293,488,932","3,246,567,396,866","3,021,365,287,197","3,312,987,238,891","2,888,511,605,585","3,143,390,084,914","3,476,322,449,891","3,241,202,633,083","3,021,365,287,197","3,312,987,238,891","2,964,636,185,137","3,650,957,716,293"
48,V. Đầu tư tài chính dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","3,589,395,282,711","3,448,498,704,769","3,415,414,330,492","3,364,524,645,594","3,617,032,523,205","3,455,144,900,380","3,762,050,463,230","3,645,684,225,702","3,417,745,410,712","3,350,073,991,400","3,617,032,523,205","3,455,144,900,380","3,622,336,995,713","3,448,498,704,769"
49,"2. Đầu tư vào công ty liên kết, liên doanh",Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,260,685,356,619","2,339,829,859,916","2,197,942,506,333","2,105,379,963,186","2,254,160,944,196","2,249,302,634,990","2,477,046,950,627","2,316,749,611,652","2,200,273,586,553","2,105,368,692,260","2,254,160,944,196","2,249,302,634,990","2,303,120,869,621","2,339,829,859,916"
50,3. Đầu tư góp vốn vào đơn vị khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","2,969,215,354,277","3,471,290,969,842","2,603,689,255,902","3,122,061,626,960","2,753,333,977,411","3,237,202,086,657","2,535,874,173,953","3,076,811,574,370","2,603,689,255,902","3,110,798,037,120","2,753,333,977,411","3,237,202,086,657","2,960,934,090,657","3,471,290,969,842"
51,4. Dự phòng đầu tư tài chính dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","-1,662,705,428,185","-2,362,822,124,989","-1,406,417,431,743","-1,885,116,944,552","-1,410,662,398,402","-2,033,659,821,267","-1,421,070,661,350","-1,770,076,960,320","-1,406,417,431,743","-1,888,292,737,980","-1,410,662,398,402","-2,033,659,821,267","-1,661,917,964,565","-2,362,822,124,989"
52,5. Đầu tư nắm giữ đến ngày đáo hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","22,200,000,000","200,000,000","20,200,000,000","22,200,000,000","20,200,000,000","2,300,000,000","170,200,000,000","22,200,000,000","20,200,000,000","22,200,000,000","20,200,000,000","2,300,000,000","20,200,000,000","200,000,000"
53,VI. Tài sản dài hạn khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","6,172,101,526,980","6,040,632,794,262","5,276,704,943,504","6,518,722,200,765","5,373,719,489,943","6,559,089,512,460","5,314,174,645,097","6,574,482,197,072","5,272,323,053,924","6,373,530,981,053","5,373,719,489,943","6,559,089,512,460","6,176,047,780,268","6,040,709,877,593"
54,1. Chi phí trả trước dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","4,280,108,673,748","4,263,532,074,712","3,992,870,261,571","4,229,508,458,076","4,009,394,300,642","4,324,952,005,712","4,030,213,898,496","4,266,086,313,477","3,988,473,726,200","4,229,325,479,033","4,009,394,300,642","4,324,952,005,712","4,275,964,779,990","4,263,609,158,043"
55,2. Tài sản thuế thu nhập hoãn lại,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","372,219,490,078","583,141,263,552","328,039,045,426","600,636,535,617","358,570,530,735","632,074,620,139","292,205,153,987","474,216,161,417","328,039,045,428","600,662,086,949","358,570,530,735","632,074,620,139","380,309,637,124","583,141,263,552"
56,4. Tài sản dài hạn khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,,,,,,,"6,500,000",,,,,
57,5. Lợi thế thương mại,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,519,773,363,154","1,193,959,455,998","955,795,636,507","1,688,577,207,072","1,005,754,658,566","1,602,062,886,609","991,755,592,614","1,834,179,722,178","955,803,782,296","1,543,543,415,071","1,005,754,658,566","1,602,062,886,609","1,519,773,363,154","1,193,959,455,998"
58,TỔNG CỘNG TÀI SẢN,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","77,113,242,259,086","81,111,672,768,784","77,498,496,617,239","82,524,561,320,255","79,590,177,910,770","84,882,746,871,895","67,672,002,046,124","78,684,548,310,895","77,707,856,786,105","82,528,812,333,002","79,590,177,910,770","84,882,746,871,895","77,819,943,232,783","81,084,553,023,316"
59,A. NỢ PHẢI TRẢ,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","41,347,913,968,713","42,857,182,749,746","42,753,890,253,591","43,802,881,312,018","45,000,855,675,671","43,308,403,142,285","34,540,251,898,268","40,987,384,269,685","42,949,325,986,797","43,756,080,710,417","45,000,855,675,671","43,308,403,142,285","41,564,462,109,618","42,829,073,521,597"
60,I. Nợ ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","37,085,540,096,744","38,821,518,341,011","38,428,954,653,327","38,961,796,147,585","40,589,331,169,628","38,412,741,258,089","30,172,305,004,238","35,978,296,290,919","38,584,036,071,465","38,803,302,176,462","40,589,331,169,628","38,412,741,258,089","37,162,028,647,145","38,723,554,131,374"
61,1. Phải trả người bán ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","4,556,462,935,058","5,659,286,584,049","4,243,686,381,712","4,865,942,068,479","4,330,797,594,271","4,785,820,707,558","4,458,223,445,512","4,823,130,965,615","4,319,007,234,205","4,841,407,875,699","4,330,797,594,271","4,785,820,707,558","4,651,268,825,545","5,599,495,526,558"
62,2. Người mua trả tiền trước ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","760,708,950,156","684,215,751,612","874,522,716,828","1,072,648,688,239","713,634,782,145","796,465,343,599","854,226,842,375","872,699,589,761","887,955,338,832","1,114,526,290,006","713,634,782,145","796,465,343,599","790,545,930,532","684,615,751,612"
63,3. Thuế và các khoản phải nộp Nhà nước,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,604,902,729,975","2,385,475,561,618","955,623,705,858","1,510,347,075,012","1,229,780,871,663","1,811,350,986,816","796,365,872,109","1,131,087,581,164","955,301,104,238","1,483,494,278,699","1,229,780,871,663","1,811,350,986,816","1,610,799,770,955","2,385,617,002,009"
64,4. Phải trả người lao động,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","3,993,373,363,362","4,288,486,197,839","2,699,177,108,877","4,141,292,842,711","3,804,583,502,276","4,676,386,144,377","2,058,731,283,078","2,857,785,336,010","2,699,156,206,160","4,141,197,064,878","3,804,583,502,276","4,676,386,144,377","4,033,107,578,189","4,288,486,197,839"
65,5. Chi phí phải trả ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,825,766,315,128","1,586,930,326,845","1,984,050,163,086","2,304,470,211,527","2,271,758,008,481","2,418,299,955,087","1,801,645,482,907","1,945,800,508,607","1,983,634,543,751","2,224,991,954,211","2,271,758,008,481","2,418,299,955,087","1,874,730,886,723","1,592,846,156,298"
66,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","78,456,375,540","92,738,882,375","83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","63,181,791,091","71,558,000,530","83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","78,456,375,540","92,738,882,375"
67,15. Doanh thu chưa thực hiện ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","3,819,693,287,615","4,255,854,980,802","2,834,731,671,142","3,010,395,459,820","3,599,683,744,290","3,853,552,997,845","2,691,801,622,717","2,682,441,351,126","2,878,967,731,131","3,049,537,489,526","3,599,683,744,290","3,853,552,997,845","3,859,494,810,863","4,256,130,258,722"
68,9. Phải trả ngắn hạn khác,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,865,344,621,685","1,593,483,253,342","1,409,764,291,070","1,800,557,391,132","1,534,191,170,734","1,777,820,726,907","1,395,818,350,383","1,646,916,694,818","1,491,883,238,767","1,809,059,302,283","1,534,191,170,734","1,777,820,726,907","1,872,674,938,818","1,593,469,614,672"
69,10. Vay và nợ thuê tài chính ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","16,613,974,844,165","15,982,888,014,363","22,119,554,044,850","18,831,929,294,340","21,865,999,919,768","16,992,883,601,763","14,773,850,270,672","18,493,583,428,576","22,056,175,048,202","18,714,142,414,817","21,865,999,919,768","16,992,883,601,763","16,486,700,723,603","15,936,274,107,585"
70,11. Dự phòng phải trả ngắn hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","453,500,635,054","446,881,388,343","370,777,464,469","203,709,510,893","319,935,370,306","101,118,824,818","373,230,335,109","317,768,622,179","374,845,860,744","204,441,900,911","319,935,370,306","101,118,824,818","404,170,182,077","448,603,233,881"
71,12. Quỹ khen thưởng phúc lợi,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","1,513,356,039,006","1,845,277,399,823","853,690,870,640","1,140,438,224,313","826,726,370,890","1,125,106,320,303","905,229,708,285","1,135,524,212,533","853,733,530,640","1,140,438,224,313","826,726,370,890","1,125,106,320,303","1,500,078,624,300","1,845,277,399,823"
72,II. Nợ dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,","4,262,373,871,969","4,035,664,408,735","4,324,935,600,264","4,841,085,164,433","4,411,524,506,043","4,895,661,884,196","4,367,946,894,030","5,009,087,978,766","4,365,289,915,332","4,952,778,533,955","4,411,524,506,043","4,895,661,884,196","4,402,433,462,473","4,105,519,390,223"
73,1. Phải trả người bán dài hạn,Công nghệ thông tin,"FPT, POT, DLG, ITD, SMT, CMG, ELC, PIA,",,,,,"37,931,559,822",,,,,,"37,931,559,822",,,
