Indicator,Industry,Stocks,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
"Tỷ suất lợi nhuận gộp biên
%",Phần mềm,"FPT, CMG, ELC, PIA,",35.98,36.38,34.32,34.02,36.28,35.26,35.46,36.78
"Tỷ suất lợi nhuận trên Vốn chủ sở hữu bình quân (ROEA)
%",Phần mềm,"FPT, CMG, ELC, PIA,",6.23,6.33,6.05,6.33,6.84,6.78,6.35,6.63
"Tỷ suất sinh lợi trên Tổng tài sàn bình quân (ROAA)
%",Phần mềm,"FPT, CMG, ELC, PIA,",2.65,2.67,2.47,2.63,2.70,2.92,2.57,2.85
"Tỷ suất sinh lợi trên doanh thu thuần
%",Phần mềm,"FPT, CMG, ELC, PIA,",13.97,14.02,13.47,13.30,13.66,13.99,12.62,14.30
"Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE)
%",Phần mềm,"FPT, CMG, ELC, PIA,",7.35,7.45,7.58,7.40,8.48,7.87,7.85,7.84
"Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả
%",Phần mềm,"FPT, CMG, ELC, PIA,",94.82,93.46,95.84,93.87,95.90,93.82,95.32,95.87
"Tỷ số Nợ ngắn hạn trên Vốn chủ sở hữu
%",Phần mềm,"FPT, CMG, ELC, PIA,",84.19,88.63,105.09,93.29,111.75,86.35,95.77,95.54
"Tỷ số Nợ vay trên Tổng tài sản
%",Phần mềm,"FPT, CMG, ELC, PIA,",23.49,25.47,30.65,24.53,28.27,21.37,22.55,20.22
"Tỷ số Nợ vay trên Vốn chủ sở hữu
%",Phần mềm,"FPT, CMG, ELC, PIA,",44.35,49.62,64.27,48.91,61.21,41.03,45.20,40.37
"Tỷ số VCSH/Tổng tài sản
%",Phần mềm,"FPT, CMG, ELC, PIA,",52.97,51.33,47.70,50.15,46.18,52.07,49.88,50.09
"Tỷ số dòng tiền HĐKD trên doanh thu thuần
%",Phần mềm,"FPT, CMG, ELC, PIA,",-10.82,-4.05,0.00,0.00,0.00,0.00,0.00,0.00
"Tỷ số nợ trên Tổng tài sản
%",Phần mềm,"FPT, CMG, ELC, PIA,",47.03,48.67,52.30,49.84,53.81,47.92,50.11,49.91
"Tỷ số nợ trên Vốn chủ sở hữu
%",Phần mềm,"FPT, CMG, ELC, PIA,",88.79,94.83,109.65,99.38,116.52,92.04,100.47,99.65
"Tỷ số thanh toán bằng tiền mặt
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",0.14,0.21,0.19,0.21,0.21,0.25,0.27,0.27
"Tỷ số thanh toán hiện hành (ngắn hạn)
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",1.29,1.32,1.26,1.32,1.22,1.38,1.25,1.32
"Tỷ số thanh toán nhanh
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",0.70,0.82,0.81,0.82,0.78,0.85,0.79,0.89
"Tỷ số thanh toán nhanh (Đã loại trừ HTK, Phải thu ngắn hạn  Tham khảo))
Lần",Phần mềm,"FPT, CMG, ELC, PIA,",1.19,1.25,1.18,1.25,1.15,1.31,1.20,1.26
"Vòng quay hàng tồn kho
Vòng",Phần mềm,"FPT, CMG, ELC, PIA,",3.29,4.55,3.55,4.99,4.51,4.76,5.72,5.93
"Vòng quay phải thu khách hàng
Vòng",Phần mềm,"FPT, CMG, ELC, PIA,",1.35,1.39,1.42,1.39,1.48,1.43,1.50,1.61
"Vòng quay phải trả nhà cung cấp
Vòng",Phần mềm,"FPT, CMG, ELC, PIA,",2.27,2.31,2.58,2.69,2.79,2.76,2.80,2.34
"Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định)
Vòng",Phần mềm,"FPT, CMG, ELC, PIA,",0.95,1.00,1.00,1.06,1.07,1.13,1.06,1.21
"Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản)
Vòng",Phần mềm,"FPT, CMG, ELC, PIA,",0.23,0.23,0.21,0.24,0.23,0.24,0.24,0.24
"Vòng quay vốn chủ sở hữu
Vòng",Phần mềm,"FPT, CMG, ELC, PIA,",0.43,0.44,0.44,0.47,0.50,0.47,0.49,0.49
"XDCBDD/Tài sản cố định
%",Phần mềm,"FPT, CMG, ELC, PIA,",14.07,14.13,17.59,14.23,13.91,14.63,13.10,18.60
"Đầu tư tài chính ngắn hạn/Tài sản ngắn hạn
%",Phần mềm,"FPT, CMG, ELC, PIA,",43.61,45.81,49.33,45.99,46.44,43.24,41.68,46.92
