No.,Indicator,Industry,Stocks,2023,2024,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
11,2. Trả trước cho người bán ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","570,048,594,045","638,092,077,015","680,846,536,071","753,868,526,920","566,246,561,470","711,329,028,738","796,892,154,632","754,613,456,801","681,152,289,860","759,763,925,452","566,246,561,470","711,329,028,738","453,556,174,180","638,092,077,015"
12,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phần mềm,"FPT, CMG, ELC, PIA,","176,770,894,412","136,097,256,629","227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","231,842,985,934","190,429,912,043","227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","182,965,994,736","136,097,256,629"
13,5. Phải thu về cho vay ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","6,515,430,000","38,670,917,590","57,294,368,657","34,634,400,000","69,078,966,120","59,543,915,000","60,498,311,424","8,954,020,000","57,294,368,657","34,634,400,000","69,078,966,120","59,543,915,000","515,430,000","38,670,917,590"
14,6. Phải thu ngắn hạn khác,Phần mềm,"FPT, CMG, ELC, PIA,","1,025,685,989,832","773,410,939,040","1,132,431,358,339","1,067,148,749,503","1,205,006,318,977","1,121,507,412,409","1,400,612,864,734","1,045,623,715,352","1,153,503,013,498","1,069,581,221,243","1,205,006,318,977","1,121,507,412,409","1,042,293,209,295","773,410,939,040"
15,7. Dự phòng phải thu ngắn hạn khó đòi,Phần mềm,"FPT, CMG, ELC, PIA,","-1,030,716,887,885","-708,734,216,477","-856,356,269,743","-1,104,662,285,869","-909,824,854,223","-739,351,476,883","-841,250,078,188","-1,097,265,506,725","-856,565,707,525","-1,104,662,285,869","-909,824,854,223","-739,351,476,883","-1,029,331,083,534","-708,734,216,477"
16,8. Tài sản thiếu chờ xử lý,Phần mềm,"FPT, CMG, ELC, PIA,",,,"32,400,100",,"32,400,100",,,,"32,400,100",,"32,400,100",,"32,400,100",
17,IV. Hàng tồn kho,Phần mềm,"FPT, CMG, ELC, PIA,","1,844,876,228,649","1,921,662,268,580","2,527,731,549,066","2,214,873,134,213","2,208,195,711,189","2,397,216,149,917","2,514,470,423,004","2,163,871,292,657","2,514,189,916,999","2,200,168,103,875","2,208,195,711,189","2,397,216,149,917","1,828,897,812,199","1,921,662,268,580"
18,1. Hàng tồn kho,Phần mềm,"FPT, CMG, ELC, PIA,","1,976,422,078,087","2,055,129,806,063","2,680,899,367,849","2,352,223,162,114","2,351,683,892,286","2,532,066,130,389","2,667,880,393,115","2,304,065,600,308","2,667,357,735,782","2,337,518,131,776","2,351,683,892,286","2,532,066,130,389","1,960,443,661,637","2,055,129,806,063"
19,2. Dự phòng giảm giá hàng tồn kho,Phần mềm,"FPT, CMG, ELC, PIA,","-131,545,849,438","-133,467,537,483","-153,167,818,783","-137,350,027,901","-143,488,181,097","-134,849,980,472","-153,409,970,111","-140,194,307,651","-153,167,818,783","-137,350,027,901","-143,488,181,097","-134,849,980,472","-131,545,849,438","-133,467,537,483"
20,V. Tài sản ngắn hạn khác,Phần mềm,"FPT, CMG, ELC, PIA,","1,152,011,268,442","1,165,280,542,119","1,149,737,598,192","1,310,810,006,272","1,295,787,836,964","1,404,286,378,211","1,140,116,688,466","1,353,348,306,597","1,168,527,156,928","1,311,620,570,351","1,295,787,836,964","1,404,286,378,211","1,315,437,528,902","1,165,280,542,119"
21,1. Chi phí trả trước ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","511,391,125,453","457,037,607,861","587,007,347,137","647,843,367,296","708,445,517,200","686,429,868,809","612,193,746,827","705,272,210,709","606,207,931,717","662,523,337,781","708,445,517,200","686,429,868,809","663,094,684,203","457,037,607,861"
22,2. Thuế GTGT còn được khấu trừ,Phần mềm,"FPT, CMG, ELC, PIA,","562,444,569,100","651,485,126,032","516,744,750,186","554,021,113,786","537,985,458,015","644,495,311,598","436,140,653,511","555,052,935,041","516,386,482,813","552,177,352,244","537,985,458,015","644,495,311,598","565,177,962,364","651,485,126,032"
23,3. Thuế và các khoản khác phải thu của nhà nước,Phần mềm,"FPT, CMG, ELC, PIA,","78,175,573,889","56,757,808,226","45,985,500,869","108,945,525,190","49,356,861,749","73,361,197,804","91,782,288,128","93,023,160,847","45,932,742,398","96,919,880,326","49,356,861,749","73,361,197,804","87,164,882,335","56,757,808,226"
24,B. TÀI SẢN DÀI HẠN,Phần mềm,"FPT, CMG, ELC, PIA,","27,875,287,225,835","27,359,464,311,387","25,691,599,835,468","28,815,044,356,667","26,544,016,644,853","29,363,157,187,152","25,300,258,989,440","28,665,396,135,304","25,721,792,588,230","28,857,053,565,396","26,544,016,644,853","29,363,157,187,152","27,902,125,697,728","27,359,464,311,387"
25,I. Các khoản phải thu dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","345,579,182,837","395,021,145,965","266,600,290,244","416,298,122,540","279,295,985,225","446,327,078,301","263,226,191,800","418,113,192,479","266,582,855,925","416,267,894,300","279,295,985,225","446,327,078,301","337,865,959,406","395,021,145,965"
26,2. Trả trước cho người bán dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","13,000,000,000","13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000"
27,4. Phải thu nội bộ dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,",,,,,,,,"5,500,000,000",,,,,,
28,5. Phải thu về cho vay dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","2,900,000,000","2,509,722,351","6,729,134,337","5,798,168,000","6,582,878,037","6,397,416,719","7,002,905,644",,"6,729,134,337","5,798,168,000","6,582,878,037","6,397,416,719","8,900,000,000","2,509,722,351"
29,6. Phải thu dài hạn khác,Phần mềm,"FPT, CMG, ELC, PIA,","382,051,665,474","431,883,906,251","312,243,638,544","449,872,437,177","325,085,589,825","479,302,144,219","308,595,768,793","451,985,675,116","312,226,204,225","449,842,208,937","325,085,589,825","479,302,144,219","381,338,442,043","431,883,906,251"
30,7. Dự phòng phải thu dài hạn khó đòi,Phần mềm,"FPT, CMG, ELC, PIA,","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637"
31,II. Tài sản cố định,Phần mềm,"FPT, CMG, ELC, PIA,","16,106,601,654,310","14,946,362,378,851","14,590,497,530,298","16,564,387,731,108","15,585,008,038,506","16,776,168,504,277","14,385,987,307,208","16,197,824,677,217","14,622,807,095,736","16,757,078,437,530","15,585,008,038,506","16,776,168,504,277","16,103,725,929,404","14,946,362,378,851"
32,1. Tài sản cố định hữu hình,Phần mềm,"FPT, CMG, ELC, PIA,","14,388,407,135,867","12,888,581,102,431","12,945,476,839,853","14,620,980,378,163","13,963,570,411,408","14,814,437,716,325","12,663,174,596,044","14,234,924,184,397","12,955,699,355,246","14,612,570,210,053","13,963,570,411,408","14,814,437,716,325","14,386,366,964,361","12,888,581,102,431"
33, Nguyên giá,Phần mềm,"FPT, CMG, ELC, PIA,","26,130,836,089,426","24,620,456,690,767","23,731,360,248,394","27,415,058,211,641","25,258,853,229,756","28,094,799,989,722","23,003,356,579,625","26,502,381,836,553","23,771,404,036,639","27,415,851,454,414","25,258,853,229,756","28,094,799,989,722","26,131,547,885,643","24,620,456,690,767"
34, Giá trị hao mòn lũy kế,Phần mềm,"FPT, CMG, ELC, PIA,","-11,742,428,953,559","-11,731,875,588,336","-10,785,883,408,541","-12,794,077,833,478","-11,295,282,818,348","-13,280,362,273,397","-10,340,181,983,581","-12,267,457,652,156","-10,815,704,681,393","-12,803,281,244,361","-11,295,282,818,348","-13,280,362,273,397","-11,745,180,921,282","-11,731,875,588,336"
35,2. Tài sản cố định thuê tài chính,Phần mềm,"FPT, CMG, ELC, PIA,","4,018,633,151","2,042,708,364","2,911,315,411","3,124,963,681","2,663,721,541","2,382,853,627","29,262,160,342","3,541,847,532","25,006,269,586","3,124,963,681","2,663,721,541","2,382,853,627","4,018,633,151","2,042,708,364"
36, Nguyên giá,Phần mềm,"FPT, CMG, ELC, PIA,","8,032,465,332","5,716,034,788","6,789,629,164","7,511,499,920","6,251,200,148","5,990,257,244","54,177,548,964","7,739,446,936","54,020,199,664","7,511,499,920","6,251,200,148","5,990,257,244","8,032,465,332","5,716,034,788"
37, Giá trị hao mòn lũy kế,Phần mềm,"FPT, CMG, ELC, PIA,","-4,013,832,181","-3,673,326,424","-3,878,313,753","-4,386,536,239","-3,587,478,607","-3,607,403,617","-24,915,388,622","-4,197,599,404","-29,013,930,078","-4,386,536,239","-3,587,478,607","-3,607,403,617","-4,013,832,181","-3,673,326,424"
38,3. Tài sản cố định vô hình,Phần mềm,"FPT, CMG, ELC, PIA,","1,714,175,885,292","2,055,738,568,056","1,642,109,375,034","1,940,282,389,264","1,618,773,905,557","1,959,347,934,325","1,693,550,550,822","1,959,358,645,288","1,642,101,470,904","2,141,383,263,796","1,618,773,905,557","1,959,347,934,325","1,713,340,331,892","2,055,738,568,056"
39, Nguyên giá,Phần mềm,"FPT, CMG, ELC, PIA,","3,293,561,982,706","3,678,088,868,622","3,233,530,403,699","3,689,585,788,558","3,129,050,403,875","3,760,249,115,374","3,218,996,331,692","3,625,019,354,642","3,233,501,783,129","3,893,248,320,107","3,129,050,403,875","3,760,249,115,374","3,289,202,802,749","3,678,088,868,622"
40, Giá trị hao mòn lũy kế,Phần mềm,"FPT, CMG, ELC, PIA,","-1,579,386,097,414","-1,622,350,300,566","-1,591,421,028,665","-1,749,303,399,294","-1,510,276,498,318","-1,800,901,181,049","-1,525,445,780,870","-1,665,660,709,354","-1,591,400,312,225","-1,751,865,056,311","-1,510,276,498,318","-1,800,901,181,049","-1,575,862,470,857","-1,622,350,300,566"
41,III. Bất động sản đầu tư,Phần mềm,"FPT, CMG, ELC, PIA,","8,420,642,762","7,963,544,042","5,568,361,635","8,192,093,402","5,568,361,635","8,077,818,722","5,568,361,635","8,306,368,082","5,568,361,635","8,192,093,402","5,568,361,635","8,077,818,722","8,420,642,762","7,963,544,042"
42, Nguyên giá,Phần mềm,"FPT, CMG, ELC, PIA,","18,171,592,354","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","18,171,592,354","18,171,592,354"
43, Giá trị hao mòn lũy kế,Phần mềm,"FPT, CMG, ELC, PIA,","-9,750,949,592","-10,208,048,312","-1,175,762,696","-9,979,498,952","-1,175,762,696","-10,093,773,632","-1,175,762,696","-9,865,224,272","-1,175,762,696","-9,979,498,952","-1,175,762,696","-10,093,773,632","-9,750,949,592","-10,208,048,312"
44,IV. Tài sản dở dang dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","2,110,823,488,659","2,779,389,448,403","2,573,407,695,541","2,390,687,945,893","2,168,787,540,075","2,456,307,747,270","2,024,847,836,961","2,290,288,844,017","2,573,436,656,500","2,385,045,007,110","2,168,787,540,075","2,456,307,747,270","2,111,068,468,359","2,779,389,448,403"
45,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",Phần mềm,"FPT, CMG, ELC, PIA,","380,000,000",,"380,000,000","190,000,000","380,000,000","190,000,000","240,000,000","380,000,000","380,000,000","190,000,000","380,000,000","190,000,000","380,000,000",
46,2. Chi phí xây dựng cơ bản dở dang,Phần mềm,"FPT, CMG, ELC, PIA,","2,110,443,488,659","2,779,389,448,403","2,573,027,695,541","2,390,497,945,893","2,168,407,540,075","2,456,117,747,270","2,024,607,836,961","2,289,908,844,017","2,573,056,656,500","2,384,855,007,110","2,168,407,540,075","2,456,117,747,270","2,110,688,468,359","2,779,389,448,403"
47,V. Đầu tư tài chính dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","3,551,140,044,037","3,427,758,330,418","3,370,788,626,469","3,313,938,142,841","3,575,710,438,042","3,432,789,324,193","3,722,450,413,127","3,598,753,122,183","3,373,119,706,689","3,313,938,142,841","3,575,710,438,042","3,432,789,324,193","3,584,139,273,328","3,427,758,330,418"
48,"2. Đầu tư vào công ty liên kết, liên doanh",Phần mềm,"FPT, CMG, ELC, PIA,","2,237,855,623,727","2,319,089,485,565","2,170,605,774,645","2,083,159,902,482","2,229,693,007,225","2,227,047,058,803","2,449,632,369,478","2,294,409,032,589","2,172,936,854,865","2,083,159,902,482","2,229,693,007,225","2,227,047,058,803","2,280,348,653,018","2,319,089,485,565"
49,3. Đầu tư góp vốn vào đơn vị khác,Phần mềm,"FPT, CMG, ELC, PIA,","2,919,697,946,038","3,470,810,969,842","2,555,451,497,769","3,059,265,860,629","2,703,884,635,667","3,229,354,986,657","2,487,908,681,800","3,026,409,301,696","2,555,451,497,769","3,059,265,860,629","2,703,884,635,667","3,229,354,986,657","2,911,416,682,418","3,470,810,969,842"
50,4. Dự phòng đầu tư tài chính dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","-1,628,613,525,728","-2,362,342,124,989","-1,375,468,645,945","-1,850,687,620,270","-1,378,067,204,850","-2,025,812,721,267","-1,385,290,638,151","-1,744,265,212,102","-1,375,468,645,945","-1,850,687,620,270","-1,378,067,204,850","-2,025,812,721,267","-1,627,826,062,108","-2,362,342,124,989"
51,5. Đầu tư nắm giữ đến ngày đáo hạn,Phần mềm,"FPT, CMG, ELC, PIA,","22,200,000,000","200,000,000","20,200,000,000","22,200,000,000","20,200,000,000","2,200,000,000","170,200,000,000","22,200,000,000","20,200,000,000","22,200,000,000","20,200,000,000","2,200,000,000","20,200,000,000","200,000,000"
52,VI. Tài sản dài hạn khác,Phần mềm,"FPT, CMG, ELC, PIA,","5,752,722,213,230","5,802,969,463,708","4,884,737,331,281","6,121,540,320,883","4,929,646,281,370","6,243,486,714,389","4,898,178,878,709","6,152,109,931,326","4,880,277,911,745","5,976,531,990,213","4,929,646,281,370","6,243,486,714,389","5,756,905,424,469","5,802,969,463,708"
53,1. Chi phí trả trước dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","4,107,357,971,640","4,132,373,113,546","3,874,622,268,116","4,051,679,169,349","3,826,413,081,910","4,188,665,744,053","3,901,759,310,919","4,076,645,659,432","3,870,148,202,792","4,051,679,079,352","3,826,413,081,910","4,188,665,744,053","4,103,451,035,837","4,132,373,113,546"
54,2. Tài sản thuế thu nhập hoãn lại,Phần mềm,"FPT, CMG, ELC, PIA,","361,289,059,827","573,138,143,484","316,770,953,436","589,832,760,160","347,466,075,298","619,884,501,032","280,771,485,232","463,480,169,597","316,770,953,435","589,858,311,488","347,466,075,298","619,884,501,032","369,379,206,869","573,138,143,484"
55,4. Tài sản dài hạn khác,Phần mềm,"FPT, CMG, ELC, PIA,",,,,,,,,,"6,500,000",,,,,
56,5. Lợi thế thương mại,Phần mềm,"FPT, CMG, ELC, PIA,","1,284,075,181,763","1,097,458,206,678","693,344,109,729","1,480,028,391,374","755,767,124,162","1,434,936,469,304","715,648,082,558","1,611,984,102,297","693,352,255,518","1,334,994,599,373","755,767,124,162","1,434,936,469,304","1,284,075,181,763","1,097,458,206,678"
57,TỔNG CỘNG TÀI SẢN,Phần mềm,"FPT, CMG, ELC, PIA,","69,052,143,492,621","74,106,188,643,250","68,793,526,225,960","74,596,188,446,576","70,838,678,536,134","76,971,939,147,577","58,926,364,981,142","70,973,704,711,618","68,873,750,419,413","74,679,375,289,550","70,838,678,536,134","76,971,939,147,577","69,165,133,079,621","74,106,188,643,250"
58,A. NỢ PHẢI TRẢ,Phần mềm,"FPT, CMG, ELC, PIA,","34,553,605,960,407","36,986,325,156,561","35,986,280,871,544","37,192,919,318,429","38,145,840,113,142","36,776,800,542,072","27,713,272,920,710","34,578,263,342,019","36,061,851,413,960","37,216,776,706,479","38,145,840,113,142","36,776,800,542,072","34,653,237,780,710","36,986,325,156,561"
59,I. Nợ ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","33,035,768,844,585","35,459,911,331,966","34,492,094,633,167","34,983,284,840,063","36,565,606,558,128","34,466,461,234,711","26,259,247,760,935","32,294,847,507,024","34,544,561,945,874","34,908,606,460,402","36,565,606,558,128","34,466,461,234,711","33,010,822,960,333","35,459,911,331,966"
60,1. Phải trả người bán ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","3,851,314,185,387","4,883,986,718,382","3,595,374,537,688","4,225,252,711,783","3,658,380,860,942","4,189,954,453,460","3,748,385,404,216","4,374,793,555,436","3,596,262,709,326","4,263,794,889,611","3,658,380,860,942","4,189,954,453,460","3,841,632,799,297","4,883,986,718,382"
61,2. Người mua trả tiền trước ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","694,318,031,217","680,280,865,677","788,761,256,290","927,073,513,196","629,621,698,631","676,633,409,726","783,191,583,560","783,348,478,779","788,790,761,106","927,066,947,483","629,621,698,631","676,633,409,726","708,576,146,360","680,280,865,677"
62,3. Thuế và các khoản phải nộp Nhà nước,Phần mềm,"FPT, CMG, ELC, PIA,","1,514,264,236,524","2,323,448,328,636","868,791,467,721","1,415,260,071,209","1,140,409,007,526","1,758,653,220,906","706,544,282,385","1,055,103,583,071","868,485,291,265","1,403,267,031,781","1,140,409,007,526","1,758,653,220,906","1,512,649,173,860","2,323,448,328,636"
63,4. Phải trả người lao động,Phần mềm,"FPT, CMG, ELC, PIA,","3,949,558,104,205","4,279,831,491,902","2,671,673,049,210","4,108,362,917,544","3,770,205,566,742","4,662,125,375,044","2,031,507,373,398","2,830,717,565,432","2,671,658,352,435","4,108,273,345,652","3,770,205,566,742","4,662,125,375,044","3,989,699,470,752","4,279,831,491,902"
64,5. Chi phí phải trả ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","1,283,201,779,153","1,259,256,961,998","1,481,152,655,607","1,756,731,312,546","1,756,144,637,977","1,935,384,653,232","1,357,492,136,800","1,432,829,417,120","1,478,846,449,120","1,701,656,004,295","1,756,144,637,977","1,935,384,653,232","1,343,010,971,564","1,259,256,961,998"
65,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,Phần mềm,"FPT, CMG, ELC, PIA,","78,456,375,540","92,738,882,375","83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","63,181,791,091","71,558,000,530","83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","78,456,375,540","92,738,882,375"
66,15. Doanh thu chưa thực hiện ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","3,818,088,945,324","4,255,288,367,739","2,834,161,073,556","3,008,990,798,598","3,597,373,665,665","3,851,481,261,626","2,690,288,945,514","2,680,656,744,845","2,878,116,040,770","3,047,588,103,019","3,597,373,665,665","3,851,481,261,626","3,857,688,459,480","4,255,288,367,739"
67,9. Phải trả ngắn hạn khác,Phần mềm,"FPT, CMG, ELC, PIA,","1,137,309,589,216","921,707,539,237","730,230,675,162","1,004,388,054,393","821,437,538,208","973,997,896,176","737,678,203,364","869,500,084,884","747,095,274,539","1,013,219,920,332","821,437,538,208","973,997,896,176","1,127,584,799,541","921,707,539,237"
68,10. Vay và nợ thuê tài chính ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","14,779,760,179,272","14,482,311,126,848","20,257,249,072,730","17,144,926,487,041","19,983,042,689,139","15,147,459,469,640","12,899,242,371,678","16,777,600,620,089","20,232,404,876,201","17,051,441,244,476","19,983,042,689,139","15,147,459,469,640","14,673,087,314,465","14,482,311,126,848"
69,11. Dự phòng phải trả ngắn hạn,Phần mềm,"FPT, CMG, ELC, PIA,","424,203,441,678","439,921,519,215","338,045,015,580","179,180,708,913","299,362,719,102","78,090,733,224","348,328,961,506","290,726,289,205","356,203,701,489","179,180,708,913","299,362,719,102","78,090,733,224","386,420,887,111","439,921,519,215"
70,12. Quỹ khen thưởng phúc lợi,Phần mềm,"FPT, CMG, ELC, PIA,","1,505,293,977,069","1,841,139,529,957","843,279,594,828","1,133,052,883,721","817,388,339,392","1,118,745,112,661","893,406,707,423","1,128,013,167,633","843,322,254,828","1,133,052,883,721","817,388,339,392","1,118,745,112,661","1,492,016,562,363","1,841,139,529,957"
71,II. Nợ dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","1,517,837,115,822","1,526,413,824,595","1,494,186,238,377","2,209,634,478,366","1,580,233,555,014","2,310,339,307,361","1,454,025,159,775","2,283,415,834,995","1,517,289,468,086","2,308,170,246,077","1,580,233,555,014","2,310,339,307,361","1,642,414,820,377","1,526,413,824,595"
72,1. Phải trả người bán dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,",,,,,"37,931,559,822",,,,,,"37,931,559,822",,,
73,2. Người mua trả tiền trước dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,",,,,,"15,024,071,903",,,,,,"15,024,071,903",,,
74,3. Chi phí phải trả dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,",,,,,"819,945,832,396",,,,,,"819,945,832,396",,,
75,6. Doanh thu chưa thực hiện dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","165,310,361,334","131,344,534,204","165,089,059,171","152,713,969,575","134,553,566,063","165,438,929,884","155,550,755,872","153,525,056,336","165,628,633,365","159,007,277,466","134,553,566,063","165,438,929,884","165,395,700,503","131,344,534,204"
76,7. Phải trả dài hạn khác,Phần mềm,"FPT, CMG, ELC, PIA,","56,571,284,047","191,037,700,758","48,162,087,321","218,939,367,641","40,702,091,227","215,928,565,085","35,664,223,486","210,326,444,321","41,140,793,183","218,724,840,552","40,702,091,227","215,928,565,085","65,340,292,055","191,037,700,758"
77,8. Vay và nợ thuê tài chính dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","875,108,106,008","501,115,537,075","970,923,052,269","1,326,976,410,904","172,070,230,363","1,369,950,961,656","1,032,617,977,638","1,383,603,477,952","1,018,666,687,833","1,419,433,397,807","172,070,230,363","1,369,950,961,656","976,980,862,702","501,115,537,075"
78,11. Thuế thu nhập hoãn lại phải trả,Phần mềm,"FPT, CMG, ELC, PIA,","339,128,512,714","421,478,205,888","270,977,905,907","373,846,371,799","309,483,198,512","373,012,454,333","201,529,200,797","422,971,642,394","270,977,905,905","373,846,371,805","309,483,198,512","373,012,454,333","350,979,113,398","421,478,205,888"
79,12. Dự phòng phải trả dài hạn,Phần mềm,"FPT, CMG, ELC, PIA,","77,250,265,969","281,245,750,387","38,842,037,426","119,810,722,071","40,029,335,162","177,012,877,631","8,780,228,992","103,536,695,337","5,710,579,409","119,810,722,071","40,029,335,162","177,012,877,631","77,250,265,969","281,245,750,387"
80,13. Quỹ phát triển khoa học và công nghệ,Phần mềm,"FPT, CMG, ELC, PIA,","4,468,585,750","192,096,283","15,164,868,391","17,347,636,376","10,493,669,566","8,995,518,772","19,882,772,990","9,452,518,655","15,164,868,391","17,347,636,376","10,493,669,566","8,995,518,772","6,468,585,750","192,096,283"
81,B. VỐN CHỦ SỞ HỮU,Phần mềm,"FPT, CMG, ELC, PIA,","34,498,537,532,214","37,119,863,486,689","32,807,245,354,416","37,403,269,128,147","32,692,838,422,992","40,195,138,605,505","31,213,092,060,432","36,395,441,369,600","32,811,899,005,453","37,462,598,583,071","32,692,838,422,992","40,195,138,605,505","34,511,895,298,911","37,119,863,486,689"
82,I. Vốn chủ sở hữu,Phần mềm,"FPT, CMG, ELC, PIA,","34,495,787,532,214","37,117,113,486,689","32,804,495,354,416","37,400,519,128,147","32,690,088,422,992","40,192,388,605,505","31,210,342,060,432","36,392,691,369,600","32,809,149,005,453","37,459,848,583,071","32,690,088,422,992","40,192,388,605,505","34,509,145,298,911","37,117,113,486,689"
