StockID,Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value
CMG,08/01/2025,"1,772,800","83,863","8,986,762","47,200",-950,-1.97,"1,772,800","83,863"
CMG,07/01/2025,"1,680,200","81,861","9,167,639","48,150",-850,-1.73,"1,654,200","80,587"
CMG,06/01/2025,"1,150,100","56,871","9,329,477","49,000",-350,-0.71,"1,150,100","56,871"
CMG,03/01/2025,"1,894,600","94,434","9,396,116","49,350",50,0.1,"1,894,600","94,434"
CMG,02/01/2025,"513,000","25,251","9,386,597","49,300",50,0.1,"513,000","25,251"
CMG,31/12/2024,"957,300","47,329","9,377,077","49,250",150,0.31,"957,300","47,329"
CMG,30/12/2024,"963,700","47,385","9,348,517","49,100",550,1.13,"963,700","47,385"
CMG,27/12/2024,"3,243,500","176,474","10,262,425","53,900","-1,500",-2.71,"3,243,500","176,474"
CMG,26/12/2024,"1,429,900","79,651","10,548,021","55,400",-500,-0.89,"1,404,500","78,241"
CMG,25/12/2024,"2,180,100","121,225","10,643,220","55,900",900,1.64,"2,060,100","115,081"
CMG,24/12/2024,"2,269,700","125,489","10,471,862","55,000",-800,-1.43,"2,269,700","125,489"
CMG,23/12/2024,"2,501,700","140,534","10,624,180","55,800",-700,-1.24,"2,381,700","133,286"
CMG,20/12/2024,"2,137,600","121,361","10,757,459","56,500",0,0.0,"2,137,600","121,361"
CMG,19/12/2024,"2,980,500","166,729","10,757,459","56,500",900,1.62,"2,980,500","166,729"
CMG,18/12/2024,"1,389,800","77,058","10,586,101","55,600",600,1.09,"1,389,800","77,058"
CMG,17/12/2024,"1,094,200","60,345","10,471,862","55,000",-700,-1.26,"1,094,200","60,345"
CMG,16/12/2024,"1,860,400","101,979","10,605,141","55,700","1,500",2.77,"1,834,400","100,570"
CMG,13/12/2024,"3,117,200","170,864","10,319,544","54,200","-1,500",-2.69,"3,117,200","170,864"
CMG,12/12/2024,"2,565,600","144,306","10,605,141","55,700","-1,300",-2.28,"2,565,600","144,306"
CMG,11/12/2024,"2,240,000","128,509","10,852,657","57,000",400,0.71,"2,240,000","128,509"
CMG,10/12/2024,"2,964,300","166,557","10,776,498","56,600",-100,-0.18,"2,964,300","166,557"
CMG,09/12/2024,"2,717,300","155,258","10,795,538","56,700","-1,200",-2.07,"2,717,300","155,258"
CMG,06/12/2024,"2,863,800","167,146","11,024,015","57,900",900,1.58,"2,863,800","167,146"
CMG,05/12/2024,"3,679,000","209,039","10,852,657","57,000",500,0.88,"3,679,000","209,039"
CMG,04/12/2024,"2,998,000","171,158","10,757,459","56,500","-1,800",-3.09,"2,940,000","168,005"
CMG,03/12/2024,"4,372,000","254,966","11,100,174","58,300","2,000",3.55,"4,352,000","253,840"
CMG,02/12/2024,"1,717,700","97,126","10,719,379","56,300",-500,-0.88,"1,717,700","97,126"
CMG,29/11/2024,"3,710,200","209,068","10,814,578","56,800","2,400",4.41,"3,612,300","203,370"
CMG,28/11/2024,"2,312,800","126,094","10,357,624","54,400",400,0.74,"2,215,200","120,775"
CMG,27/11/2024,"2,485,000","134,360","10,281,465","54,000",700,1.31,"2,365,300","127,766"
CMG,26/11/2024,"1,797,900","95,020","10,148,187","53,300",500,0.95,"1,732,100","91,546"
CMG,25/11/2024,"2,413,500","126,036","10,052,988","52,800",-500,-0.94,"2,205,500","114,969"
CMG,22/11/2024,"2,233,500","120,725","10,148,187","53,300",-700,-1.3,"2,129,900","115,112"
CMG,21/11/2024,"1,242,900","66,730","10,281,465","54,000",200,0.37,"1,049,900","55,980"
CMG,20/11/2024,"2,846,500","149,279","10,243,385","53,800",100,0.19,"2,752,500","144,102"
CMG,19/11/2024,"3,051,300","168,614","10,224,346","53,700","-4,000",-6.93,"3,051,300","168,614"
CMG,18/11/2024,"1,616,700","92,485","10,985,936","57,700",-200,-0.35,"1,616,700","92,485"
CMG,15/11/2024,"4,614,000","260,223","11,024,015","57,900",900,1.58,"4,614,000","260,223"
CMG,14/11/2024,"2,624,800","151,356","10,852,657","57,000","-1,800",-3.06,"2,624,800","151,356"
CMG,13/11/2024,"3,055,400","176,839","11,195,373","58,800",400,0.68,"2,996,400","173,425"
CMG,12/11/2024,"2,817,800","162,510","11,119,214","58,400","1,000",1.74,"2,817,800","162,510"
CMG,11/11/2024,"7,646,900","432,156","10,928,816","57,400","3,700",6.89,"7,476,900","422,908"
CMG,08/11/2024,"4,942,300","267,959","10,224,346","53,700",700,1.32,"4,892,300","265,309"
CMG,07/11/2024,"4,230,100","227,201","10,091,067","53,000","1,800",3.52,"4,189,100","225,028"
CMG,06/11/2024,"657,600","33,569","9,748,352","51,200",700,1.39,"525,600","26,811"
CMG,05/11/2024,"594,100","30,167","9,615,074","50,500",-800,-1.56,"594,100","30,167"
CMG,04/11/2024,"802,600","40,640","9,767,392","51,300",700,1.38,"670,600","33,868"
CMG,01/11/2024,"1,100,700","56,039","9,634,113","50,600","-1,300",-2.5,"995,700","50,726"
CMG,31/10/2024,"591,400","31,027","9,881,630","51,900",-800,-1.52,"409,900","21,444"
CMG,30/10/2024,"445,800","23,499","10,033,948","52,700",-100,-0.19,"305,800","16,107"
CMG,29/10/2024,"1,175,600","61,776","10,052,988","52,800","1,500",2.92,"1,045,600","55,107"
CMG,28/10/2024,"394,000","20,170","9,767,392","51,300",600,1.18,"301,000","15,455"
CMG,25/10/2024,"175,500","8,885","9,653,153","50,700",100,0.2,"175,500","8,885"
CMG,24/10/2024,"672,900","34,117","9,634,113","50,600",-800,-1.56,"624,900","31,820"
CMG,23/10/2024,"420,200","21,613","9,786,431","51,400",-300,-0.58,"420,200","21,613"
CMG,22/10/2024,"716,800","37,422","9,843,551","51,700","-1,700",-3.18,"666,800","34,937"
CMG,21/10/2024,"1,429,700","75,672","10,167,226","53,400","1,300",2.5,"1,383,700","73,275"
CMG,18/10/2024,"493,300","26,210","9,919,710","52,100",-600,-1.14,"406,300","21,338"
CMG,17/10/2024,"502,300","26,676","10,033,948","52,700",700,1.35,"405,300","21,283"
CMG,16/10/2024,"545,300","28,810","9,900,670","52,000",0,0.0,"429,300","22,360"
CMG,15/10/2024,"1,461,300","77,226","9,900,670","52,000","-1,100",-2.07,"907,300","47,451"
CMG,14/10/2024,"793,000","42,676","10,110,107","53,100",100,0.19,"690,000","37,114"
CMG,11/10/2024,"638,000","33,873","10,091,067","53,000",-500,-0.93,"521,000","27,613"
CMG,10/10/2024,"2,989,400","157,899","10,186,266","53,500","2,500",4.9,"2,911,400","153,921"
CMG,09/10/2024,"391,800","19,827","9,710,272","51,000","1,300",2.62,"351,800","17,839"
CMG,08/10/2024,"401,500","20,027","9,462,756","49,700",-500,-1.0,"401,500","20,027"
CMG,07/10/2024,"257,300","13,003","9,557,954","50,200",0,0.0,"220,300","11,079"
CMG,04/10/2024,"404,800","20,402","9,557,954","50,200",-200,-0.4,"339,800","17,126"
CMG,03/10/2024,"533,000","27,057","9,596,034","50,400",-700,-1.37,"533,000","27,057"
CMG,02/10/2024,"312,900","16,070","9,729,312","51,100",-800,-1.54,"292,900","15,032"
CMG,01/10/2024,"992,800","50,920","9,881,630","51,900","1,100",2.17,"882,800","45,722"
CMG,30/09/2024,"291,300","14,857","9,672,193","50,800",-200,-0.39,"291,300","14,857"
CMG,27/09/2024,"457,500","23,401","9,710,272","51,000",-500,-0.97,"457,500","23,401"
CMG,26/09/2024,"653,800","33,669","9,805,471","51,500",0,0.0,"576,800","29,703"
CMG,25/09/2024,"560,300","28,939","9,805,471","51,500",-300,-0.58,"515,300","26,608"
CMG,24/09/2024,"413,932","21,197","9,862,590","51,800",700,1.37,"279,900","14,392"
CMG,23/09/2024,"660,200","33,902","9,729,312","51,100","-1,000",-1.92,"615,200","31,647"
CMG,20/09/2024,"724,700","38,147","9,919,710","52,100",-100,-0.19,"650,700","34,284"
CMG,19/09/2024,"515,000","26,953","9,938,749","52,200",-300,-0.57,"493,000","25,798"
CMG,18/09/2024,"1,372,700","71,877","9,995,869","52,500","1,600",3.14,"1,327,700","69,586"
CMG,17/09/2024,"421,900","21,193","9,691,233","50,900",500,0.99,"279,900","14,094"
CMG,16/09/2024,"350,900","17,875","9,596,034","50,400",-700,-1.37,"295,900","15,064"
CMG,13/09/2024,"470,600","23,963","9,729,312","51,100",300,0.59,"387,600","19,747"
CMG,12/09/2024,"307,500","15,583","9,672,193","50,800",500,0.99,"231,500","11,760"
CMG,11/09/2024,"446,600","22,333","9,576,994","50,300",800,1.62,"446,600","22,333"
CMG,10/09/2024,"587,900","29,458","9,424,676","49,500","-1,500",-2.94,"587,900","29,458"
CMG,09/09/2024,"554,900","28,264","9,710,272","51,000",-800,-1.54,"519,900","26,577"
CMG,06/09/2024,"455,500","23,598","9,864,756","51,800",-300,-0.58,"455,500","23,598"
CMG,05/09/2024,"672,600","34,924","9,921,887","52,100",-900,-1.7,"592,600","30,980"
CMG,04/09/2024,"705,900","37,040","10,093,283","53,000",200,0.38,"635,900","33,344"
CMG,30/08/2024,"387,700","20,475","10,055,195","52,800",-700,-1.31,"349,700","18,583"
CMG,29/08/2024,"2,288,758","121,590","10,188,502","53,500","1,200",2.29,"1,041,300","54,930"
CMG,28/08/2024,"512,300","26,915","9,959,975","52,300",-200,-0.38,"463,400","24,348"
CMG,27/08/2024,"727,400","37,894","9,998,063","52,500",-300,-0.57,"623,400","32,636"
CMG,26/08/2024,"846,100","44,773","10,055,195","52,800","-1,000",-1.86,"796,100","42,268"
CMG,23/08/2024,"848,700","45,699","10,245,634","53,800",-900,-1.65,"806,700","43,402"
CMG,22/08/2024,"2,789,200","151,685","10,417,029","54,700","2,100",3.99,"1,602,700","86,962"
CMG,21/08/2024,"1,013,400","53,718","10,017,107","52,600",-500,-0.94,"943,400","49,943"
CMG,20/08/2024,"876,800","46,841","10,112,327","53,100",100,0.19,"786,800","42,071"
CMG,19/08/2024,"913,500","48,346","10,093,283","53,000",800,1.53,"777,500","41,247"
CMG,16/08/2024,"1,446,100","74,824","9,940,931","52,200","2,450",4.92,"1,346,500","69,525"
CMG,15/08/2024,"570,200","28,440","9,474,355","49,750","-1,150",-2.26,"490,200","24,460"
CMG,14/08/2024,"1,050,000","53,534","9,693,360","50,900",-600,-1.17,"1,050,000","53,534"
CMG,13/08/2024,"1,052,500","55,098","9,807,624","51,500",-300,-0.58,"880,800","45,586"
CMG,12/08/2024,"1,031,400","53,032","9,864,756","51,800","1,000",1.97,"858,000","44,239"
CMG,09/08/2024,"1,115,800","55,796","9,674,316","50,800","2,100",4.31,"1,007,800","50,521"
CMG,08/08/2024,"1,681,600","82,744","9,274,394","48,700","-2,300",-4.51,"928,300","46,058"
CMG,07/08/2024,"586,200","29,604","9,712,404","51,000",900,1.8,"586,200","29,604"
CMG,06/08/2024,"688,100","34,025","9,541,009","50,100","1,450",2.98,"688,100","34,025"
CMG,05/08/2024,"1,537,900","76,146","9,264,872","48,650","-3,650",-6.98,"1,537,900","76,146"
CMG,02/08/2024,"919,600","47,080","9,959,975","52,300","1,100",2.15,"824,600","42,140"
CMG,01/08/2024,"2,295,500","119,236","9,750,492","51,200","-3,800",-6.91,"1,318,900","69,234"
CMG,31/07/2024,"793,300","43,348","10,474,161","55,000",-400,-0.72,"647,300","35,464"
CMG,30/07/2024,"1,030,800","57,221","10,550,337","55,400","-1,200",-2.12,"940,800","52,226"
CMG,29/07/2024,"1,030,000","58,337","10,778,864","56,600",100,0.18,"878,000","49,749"
CMG,26/07/2024,"1,283,700","70,937","10,759,820","56,500","3,100",5.81,"1,103,700","60,767"
CMG,25/07/2024,"1,931,000","102,766","10,169,458","53,400","-1,100",-2.02,"730,200","39,007"
CMG,24/07/2024,"1,019,900","54,817","10,378,942","54,500",400,0.74,"809,900","43,456"
CMG,23/07/2024,"1,165,300","64,350","10,302,766","54,100",0,0.0,"1,058,300","58,358"
CMG,22/07/2024,"1,492,700","81,747","10,302,766","54,100","-1,900",-3.39,"1,273,300","69,461"
CMG,19/07/2024,"1,147,900","65,037","10,664,601","56,000","-1,200",-2.1,"1,040,900","58,917"
CMG,18/07/2024,"2,106,900","119,751","10,893,128","57,200","1,000",1.78,"1,352,300","76,738"
CMG,17/07/2024,"2,371,100","138,166","10,702,688","56,200","-3,800",-6.33,"2,226,100","130,075"
CMG,16/07/2024,"1,902,900","116,330","11,426,358","60,000","-2,100",-3.38,"1,902,900","116,330"
CMG,15/07/2024,"1,623,300","101,958","11,826,280","62,100","-1,700",-2.66,"1,588,300","99,571"
CMG,12/07/2024,"1,709,400","110,046","12,150,027","63,800","-1,400",-2.15,"1,454,500","93,461"
CMG,11/07/2024,"1,205,000","79,431","12,416,642","65,200","-1,000",-1.51,"1,076,000","70,917"
CMG,10/07/2024,"2,792,800","184,514","12,607,081","66,200","1,700",2.64,"2,531,800","168,131"
CMG,09/07/2024,"1,980,200","125,549","12,283,335","64,500",700,1.1,"1,725,200","109,280"
CMG,08/07/2024,"1,180,300","75,431","12,150,027","63,800",-400,-0.62,"1,000,300","64,181"
CMG,05/07/2024,"1,553,800","101,015","12,226,203","64,200",-200,-0.31,"1,413,800","91,999"
CMG,04/07/2024,"1,553,000","99,638","12,264,291","64,400","1,600",2.55,"1,432,300","91,539"
CMG,03/07/2024,"1,073,200","67,058","11,959,588","62,800",-400,-0.63,"988,200","62,060"
CMG,02/07/2024,"1,102,500","69,522","12,035,764","63,200",900,1.44,"1,102,500","69,522"
CMG,01/07/2024,"1,149,200","71,025","11,864,368","62,300","1,300",2.13,"1,149,200","71,025"
CMG,28/06/2024,"1,961,300","122,457","11,616,797","61,000","-2,400",-3.79,"1,961,300","122,457"
CMG,27/06/2024,"1,184,800","75,853","12,073,851","63,400","-1,400",-2.16,"1,184,800","75,853"
CMG,26/06/2024,"1,264,700","80,636","12,340,466","64,800","1,100",1.73,"1,164,700","74,706"
CMG,25/06/2024,"2,348,600","151,551","12,130,983","63,700","-2,700",-4.07,"2,268,600","146,607"
CMG,24/06/2024,"3,838,000","260,990","12,645,169","66,400","-4,200",-5.95,"3,818,000","259,490"
CMG,21/06/2024,"2,142,100","151,268","13,445,014","70,600",700,1.0,"2,022,100","142,880"
CMG,20/06/2024,"1,939,600","135,284","13,311,707","69,900",0,0.0,"1,699,600","119,660"
CMG,19/06/2024,"2,450,700","167,740","13,311,707","69,900","1,500",2.19,"2,326,700","159,841"
CMG,18/06/2024,"1,517,400","103,436","13,026,048","68,400",500,0.74,"1,392,400","95,536"
CMG,17/06/2024,"3,897,300","269,492","12,930,828","67,900","-2,100",-3.0,"3,818,300","264,127"
CMG,14/06/2024,"3,582,700","257,423","13,330,751","70,000",0,0.0,"3,529,700","253,973"
CMG,13/06/2024,"1,602,000","113,041","13,330,751","70,000",400,0.57,"1,468,000","104,358"
CMG,12/06/2024,"2,105,800","146,626","13,254,575","69,600","1,000",1.46,"2,035,800","141,754"
CMG,11/06/2024,"2,301,100","158,086","13,064,136","68,600",-900,-1.29,"2,251,100","154,656"
CMG,10/06/2024,"1,406,900","96,871","13,235,531","69,500","1,100",1.61,"1,236,900","85,141"
CMG,07/06/2024,"1,558,000","106,090","13,026,048","68,400",0,0.0,"1,433,000","98,127"
CMG,06/06/2024,"2,273,800","154,799","13,026,048","68,400","1,200",1.79,"2,175,800","148,674"
CMG,05/06/2024,"2,540,900","176,003","12,769,814","67,200","-1,300",-1.9,"2,540,900","176,003"
CMG,04/06/2024,"2,851,900","195,488","13,016,849","68,500","3,400",5.22,"2,789,900","191,731"
CMG,03/06/2024,"4,588,700","294,152","12,370,757","65,100","4,200",6.9,"4,461,800","286,805"
CMG,31/05/2024,"1,104,900","67,026","11,572,644","60,900","1,700",2.87,"1,017,900","61,876"
CMG,30/05/2024,"1,849,100","109,491","11,249,598","59,200",-800,-1.33,"1,814,100","107,426"
CMG,29/05/2024,"2,384,000","146,091","11,401,620","60,000","-2,100",-3.38,"2,384,000","146,091"
CMG,28/05/2024,"1,524,800","92,440","11,800,676","62,100","3,100",5.25,"1,479,800","89,785"
CMG,27/05/2024,"2,265,500","132,741","11,211,593","59,000",-700,-1.17,"2,265,500","132,741"
CMG,24/05/2024,"2,640,300","162,471","11,344,612","59,700","-3,900",-6.13,"2,640,300","162,471"
CMG,23/05/2024,"3,200,000","201,861","12,085,717","63,600","2,400",3.92,"3,065,000","193,599"
CMG,22/05/2024,"1,663,400","102,427","11,629,652","61,200",-300,-0.49,"1,584,400","97,608"
CMG,21/05/2024,"2,029,900","123,961","11,686,660","61,500","2,500",4.24,"1,959,900","119,831"
CMG,20/05/2024,"3,991,300","240,051","11,211,593","59,000","-2,300",-3.75,"3,963,300","238,399"
CMG,17/05/2024,"2,874,800","175,158","11,648,655","61,300",700,1.16,"2,849,800","173,553"
CMG,16/05/2024,"3,482,500","213,638","11,515,636","60,600","-2,400",-3.81,"3,482,500","213,638"
CMG,15/05/2024,"1,956,900","125,036","11,971,701","63,000",600,0.96,"1,956,900","125,036"
CMG,14/05/2024,"1,472,300","89,809","11,857,685","62,400","4,000",6.85,"1,472,300","89,809"
CMG,13/05/2024,"1,459,100","85,370","11,097,577","58,400",-500,-0.85,"1,459,100","85,370"
CMG,10/05/2024,"3,040,800","177,802","11,192,590","58,900","3,500",6.32,"3,000,800","175,586"
CMG,09/05/2024,"1,438,800","79,104","10,527,496","55,400","3,600",6.95,"1,353,800","74,854"
CMG,08/05/2024,"1,159,000","58,871","9,843,398","51,800","3,350",6.91,"1,000,000","50,921"
CMG,07/05/2024,"1,185,633","57,950","9,206,808","48,450","1,600",3.42,"951,000","46,258"
CMG,06/05/2024,"1,555,400","71,449","8,902,765","46,850","1,750",3.88,"1,300,400","59,719"
CMG,03/05/2024,"1,141,300","52,325","8,570,218","45,100","-1,050",-2.28,"954,300","43,723"
CMG,02/05/2024,"1,369,600","62,368","8,769,746","46,150","1,500",3.36,"1,139,600","52,248"
CMG,26/04/2024,"673,900","30,067","8,484,705","44,650",50,0.11,"502,900","22,440"
CMG,25/04/2024,"1,425,900","64,530","8,475,204","44,600",-700,-1.55,"1,275,900","58,080"
CMG,24/04/2024,"878,900","39,031","8,608,223","45,300","2,500",5.84,"743,900","33,226"
CMG,23/04/2024,"2,172,300","91,870","8,133,155","42,800",450,1.06,"2,046,300","86,578"
CMG,22/04/2024,"460,500","19,561","8,047,643","42,350",800,1.93,"262,500","11,047"
CMG,19/04/2024,"1,900,600","79,648","7,895,622","41,550","-2,600",-5.89,"1,720,600","72,178"
CMG,17/04/2024,"799,800","35,529","8,389,692","44,150","-1,700",-3.71,"683,500","30,295"
CMG,16/04/2024,"993,400","43,858","8,712,738","45,850",0,0.0,"865,400","38,098"
CMG,15/04/2024,"1,404,600","66,902","8,712,738","45,850","-3,450",-7.0,"1,204,600","57,042"
CMG,12/04/2024,"707,100","33,950","9,368,331","49,300","1,200",2.49,"600,100","28,814"
CMG,11/04/2024,"454,100","21,708","9,140,299","48,100",-800,-1.64,"334,100","16,008"
CMG,10/04/2024,"827,400","39,783","9,292,320","48,900",900,1.88,"720,400","34,647"
CMG,09/04/2024,"724,800","33,818","9,121,296","48,000","2,950",6.55,"580,800","27,050"
CMG,08/04/2024,"1,164,095","54,364","8,560,716","45,050","-2,250",-4.76,"1,096,400","51,162"
CMG,05/04/2024,"851,900","40,679","8,988,277","47,300","1,350",2.94,"851,900","40,679"
CMG,04/04/2024,"2,040,400","93,286","8,731,740","45,950","3,000",6.98,"1,958,400","89,764"
CMG,03/04/2024,"987,200","41,233","8,161,659","42,950","2,800",6.97,"987,200","41,233"
CMG,02/04/2024,"215,900","8,640","7,629,584","40,150",-50,-0.12,"215,900","8,640"
CMG,01/04/2024,"358,100","14,294","7,639,085","40,200",250,0.63,"335,100","13,375"
CMG,29/03/2024,"133,900","5,341","7,591,578","39,950",-500,-1.24,"133,900","5,341"
CMG,28/03/2024,"420,300","16,890","7,686,592","40,450",300,0.75,"195,300","7,853"
CMG,27/03/2024,"169,800","6,794","7,629,584","40,150",0,0.0,"169,800","6,794"
CMG,26/03/2024,"1,169,400","46,359","7,629,584","40,150",850,2.16,"1,049,400","41,643"
CMG,25/03/2024,"111,800","4,416","7,468,061","39,300",-700,-1.75,"111,800","4,416"
CMG,22/03/2024,"362,400","14,280","7,601,080","40,000",200,0.5,"292,400","11,494"
CMG,21/03/2024,"1,143,500","44,553","7,563,074","39,800",-250,-0.62,"1,093,500","42,568"
CMG,20/03/2024,"200,300","7,941","7,610,581","40,050",350,0.88,"139,300","5,519"
CMG,19/03/2024,"282,700","11,288","7,544,072","39,700","-1,250",-3.05,"187,700","7,488"
CMG,18/03/2024,"277,300","11,207","7,781,605","40,950",-550,-1.33,"205,300","8,255"
CMG,15/03/2024,"319,900","13,079","7,886,120","41,500",-150,-0.36,"219,900","8,914"
CMG,14/03/2024,"313,300","12,863","7,914,624","41,650",-300,-0.72,"247,300","10,157"
CMG,13/03/2024,"486,500","20,274","7,971,632","41,950","1,350",3.33,"386,500","16,214"
CMG,12/03/2024,"588,800","23,350","7,715,096","40,600","1,400",3.57,"528,800","20,998"
