No.,Indicator,Industry,Stocks,2023,2024,6M_2023,6M_2024,9M_2023,9M_2024,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
12,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","176,770,894,412","136,097,256,629","227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","231,842,985,934","190,429,912,043","227,380,785,100","196,821,565,607","229,678,782,310","194,158,152,911","182,965,994,736","136,097,256,629"
13,5. Phải thu về cho vay ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","6,575,430,000","38,670,917,590","67,048,830,446","34,694,400,000","69,078,966,120","59,603,915,000","60,498,311,424","9,014,020,000","57,294,368,657","34,694,400,000","69,078,966,120","59,603,915,000","515,430,000","38,670,917,590"
14,6. Phải thu ngắn hạn khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,032,926,422,018","773,410,939,040","1,144,379,488,848","1,074,052,747,135","1,216,466,623,786","1,129,413,312,410","1,430,940,632,064","1,051,766,518,541","1,181,740,682,958","1,076,485,164,435","1,216,466,623,786","1,129,413,312,410","1,052,042,311,719","773,410,939,040"
15,7. Dự phòng phải thu ngắn hạn khó đòi,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-1,123,760,598,645","-708,734,216,477","-894,679,171,426","-1,195,122,341,959","-994,982,052,121","-829,890,837,971","-879,856,202,495","-1,190,268,322,149","-894,888,609,208","-1,195,122,341,959","-994,982,052,121","-829,890,837,971","-1,122,274,303,331","-708,734,216,477"
16,8. Tài sản thiếu chờ xử lý,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",,,"32,400,100",,"32,400,100",,,,"32,400,100",,"32,400,100",,"32,400,100",
17,IV. Hàng tồn kho,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,880,845,569,935","1,921,662,268,580","2,577,099,157,804","2,388,659,320,320","2,260,908,409,696","2,672,226,763,563","2,567,305,843,185","2,193,898,267,123","2,563,557,525,737","2,374,227,092,982","2,260,908,409,696","2,672,226,763,563","1,864,181,927,165","1,921,662,268,580"
18,1. Hàng tồn kho,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","2,034,171,649,750","2,055,129,806,063","2,739,414,097,309","2,547,738,333,650","2,418,645,432,790","2,826,694,513,759","2,730,750,278,828","2,355,952,784,211","2,725,872,465,242","2,533,306,106,312","2,418,645,432,790","2,826,694,513,759","2,017,330,106,071","2,055,129,806,063"
19,2. Dự phòng giảm giá hàng tồn kho,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-153,326,079,815","-133,467,537,483","-162,314,939,505","-159,079,013,330","-157,737,023,094","-154,467,750,196","-163,444,435,643","-162,054,517,088","-162,314,939,505","-159,079,013,330","-157,737,023,094","-154,467,750,196","-153,148,178,906","-133,467,537,483"
20,V. Tài sản ngắn hạn khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,159,631,251,864","1,165,280,542,119","1,157,955,046,910","1,331,428,671,861","1,306,728,175,181","1,433,182,790,210","1,147,779,205,197","1,362,738,299,529","1,176,759,813,976","1,333,092,845,449","1,306,728,175,181","1,433,182,790,210","1,323,042,134,111","1,165,280,542,119"
21,1. Chi phí trả trước ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","511,702,087,748","457,037,607,861","587,703,774,865","648,798,721,462","708,996,863,311","687,265,348,795","613,091,140,887","706,334,681,836","606,919,567,775","663,478,691,947","708,996,863,311","687,265,348,795","663,390,268,285","457,037,607,861"
22,2. Thuế GTGT còn được khấu trừ,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","569,753,590,227","651,485,126,032","524,265,771,176","572,630,765,511","548,374,450,121","672,499,535,589","442,905,776,182","563,380,456,846","523,907,503,803","570,814,284,269","548,374,450,121","672,499,535,589","572,486,983,491","651,485,126,032"
23,3. Thuế và các khoản khác phải thu của nhà nước,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","78,175,573,889","56,757,808,226","45,985,500,869","109,999,184,888","49,356,861,749","73,417,905,826","91,782,288,128","93,023,160,847","45,932,742,398","98,799,869,233","49,356,861,749","73,417,905,826","87,164,882,335","56,757,808,226"
24,B. TÀI SẢN DÀI HẠN,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","28,026,843,266,094","27,359,464,311,387","25,851,131,551,358","28,959,229,230,064","26,705,293,362,284","29,505,417,781,888","25,464,340,779,211","28,812,902,123,929","25,881,309,095,783","29,001,238,438,784","26,705,293,362,284","29,505,417,781,888","28,053,771,800,599","27,359,464,311,387"
25,I. Các khoản phải thu dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","348,287,393,426","395,021,145,965","267,879,855,044","417,701,777,740","285,393,911,814","447,740,733,501","264,546,361,400","419,368,809,979","267,862,420,725","417,671,549,500","285,393,911,814","447,740,733,501","340,649,169,995","395,021,145,965"
26,2. Trả trước cho người bán dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","13,000,000,000","13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000",,"13,000,000,000"
27,4. Phải thu nội bộ dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",,,,,,,,"5,500,000,000",,,,,,
28,5. Phải thu về cho vay dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","4,398,645,789","2,509,722,351","6,789,134,337","5,798,168,000","11,461,239,826","6,397,416,719","7,062,905,644",,"6,789,134,337","5,798,168,000","11,461,239,826","6,397,416,719","10,458,645,789","2,509,722,351"
29,6. Phải thu dài hạn khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","383,261,230,274","431,883,906,251","313,463,203,344","451,276,092,377","326,305,154,625","480,715,799,419","309,855,938,393","453,241,292,616","313,445,769,025","451,245,864,137","326,305,154,625","480,715,799,419","382,563,006,843","431,883,906,251"
30,7. Dự phòng phải thu dài hạn khó đòi,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637","-52,372,482,637"
31,II. Tài sản cố định,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","16,177,799,687,800","14,946,362,378,851","14,658,608,011,028","16,634,593,010,572","15,656,771,739,189","16,844,805,341,327","14,455,870,558,913","16,269,282,823,066","14,690,902,368,126","16,827,283,716,982","15,656,771,739,189","16,844,805,341,327","16,174,923,962,883","14,946,362,378,851"
32,1. Tài sản cố định hữu hình,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","14,443,757,734,719","12,888,581,102,431","12,998,132,803,833","14,676,212,096,113","14,019,247,931,456","14,868,452,493,661","12,717,486,210,845","14,291,005,825,265","13,008,340,110,886","14,667,801,927,991","14,019,247,931,456","14,868,452,493,661","14,441,717,563,202","12,888,581,102,431"
33, Nguyên giá,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","26,237,082,465,290","24,620,456,690,767","23,832,204,381,008","27,523,166,946,773","25,363,960,433,256","28,203,083,124,854","23,106,390,107,805","26,610,105,051,992","23,872,248,169,253","27,523,960,189,546","25,363,960,433,256","28,203,083,124,854","26,237,507,538,260","24,620,456,690,767"
34, Giá trị hao mòn lũy kế,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-11,793,324,730,571","-11,731,875,588,336","-10,834,071,577,175","-12,846,954,850,660","-11,344,712,501,800","-13,334,630,631,193","-10,388,903,896,960","-12,319,099,226,727","-10,863,908,058,367","-12,856,158,261,555","-11,344,712,501,800","-13,334,630,631,193","-11,795,789,975,058","-11,731,875,588,336"
35,2. Tài sản cố định thuê tài chính,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","4,018,633,151","2,042,708,364","2,911,315,411","3,124,963,681","2,663,721,541","2,382,853,627","29,262,160,342","3,541,847,532","25,006,269,586","3,124,963,681","2,663,721,541","2,382,853,627","4,018,633,151","2,042,708,364"
36, Nguyên giá,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","8,032,465,332","5,716,034,788","6,789,629,164","7,511,499,920","6,251,200,148","5,990,257,244","54,177,548,964","7,739,446,936","54,020,199,664","7,511,499,920","6,251,200,148","5,990,257,244","8,032,465,332","5,716,034,788"
37, Giá trị hao mòn lũy kế,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-4,013,832,181","-3,673,326,424","-3,878,313,753","-4,386,536,239","-3,587,478,607","-3,607,403,617","-24,915,388,622","-4,197,599,404","-29,013,930,078","-4,386,536,239","-3,587,478,607","-3,607,403,617","-4,013,832,181","-3,673,326,424"
38,3. Tài sản cố định vô hình,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,730,023,319,930","2,055,738,568,056","1,657,563,891,784","1,955,255,950,778","1,634,860,086,192","1,973,969,994,039","1,709,122,187,726","1,974,735,150,269","1,657,555,987,654","2,156,356,825,310","1,634,860,086,192","1,973,969,994,039","1,729,187,766,530","2,055,738,568,056"
39, Nguyên giá,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","3,321,721,406,052","3,678,088,868,622","3,260,462,200,045","3,717,664,311,904","3,156,942,327,221","3,788,379,581,720","3,245,699,094,158","3,653,097,877,988","3,260,433,579,475","3,921,326,843,453","3,156,942,327,221","3,788,379,581,720","3,317,362,226,095","3,678,088,868,622"
40, Giá trị hao mòn lũy kế,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-1,591,698,086,122","-1,622,350,300,566","-1,602,898,308,261","-1,762,408,361,126","-1,522,082,241,029","-1,814,409,587,681","-1,536,576,906,432","-1,678,362,727,719","-1,602,877,591,821","-1,764,970,018,143","-1,522,082,241,029","-1,814,409,587,681","-1,588,174,459,565","-1,622,350,300,566"
41,III. Bất động sản đầu tư,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","8,420,642,762","7,963,544,042","5,568,361,635","8,192,093,402","5,568,361,635","8,077,818,722","5,568,361,635","8,306,368,082","5,568,361,635","8,192,093,402","5,568,361,635","8,077,818,722","8,420,642,762","7,963,544,042"
42, Nguyên giá,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","18,171,592,354","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","6,744,124,331","18,171,592,354","18,171,592,354","18,171,592,354"
43, Giá trị hao mòn lũy kế,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-9,750,949,592","-10,208,048,312","-1,175,762,696","-9,979,498,952","-1,175,762,696","-10,093,773,632","-1,175,762,696","-9,865,224,272","-1,175,762,696","-9,979,498,952","-1,175,762,696","-10,093,773,632","-9,750,949,592","-10,208,048,312"
44,IV. Tài sản dở dang dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","2,110,840,488,659","2,779,389,448,403","2,574,953,104,427","2,390,896,545,893","2,169,580,030,447","2,456,537,947,270","2,025,524,474,961","2,290,403,944,017","2,574,982,065,386","2,385,253,607,110","2,169,580,030,447","2,456,537,947,270","2,111,085,468,359","2,779,389,448,403"
45,"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","380,000,000",,"380,000,000","190,000,000","380,000,000","190,000,000","240,000,000","380,000,000","380,000,000","190,000,000","380,000,000","190,000,000","380,000,000",
46,2. Chi phí xây dựng cơ bản dở dang,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","2,110,460,488,659","2,779,389,448,403","2,574,573,104,427","2,390,706,545,893","2,169,200,030,447","2,456,347,947,270","2,025,284,474,961","2,290,023,944,017","2,574,602,065,386","2,385,063,607,110","2,169,200,030,447","2,456,347,947,270","2,110,705,468,359","2,779,389,448,403"
47,V. Đầu tư tài chính dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","3,553,842,281,058","3,427,758,330,418","3,379,096,045,411","3,315,631,850,622","3,580,750,571,052","3,434,524,550,931","3,731,229,636,507","3,600,875,341,603","3,381,427,125,631","3,315,631,850,621","3,580,750,571,052","3,434,524,550,931","3,586,841,194,755","3,427,758,330,418"
48,"2. Đầu tư vào công ty liên kết, liên doanh",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","2,239,996,760,748","2,319,089,485,565","2,177,416,093,587","2,084,853,610,263","2,233,582,040,235","2,228,682,285,541","2,456,322,492,858","2,295,970,152,009","2,179,747,173,807","2,084,853,610,262","2,233,582,040,235","2,228,682,285,541","2,282,489,474,445","2,319,089,485,565"
49,3. Đầu tư góp vốn vào đơn vị khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","2,927,065,046,038","3,470,810,969,842","2,562,818,597,769","3,066,632,960,629","2,711,251,735,667","3,236,722,086,657","2,495,275,781,800","3,033,776,401,696","2,562,818,597,769","3,066,632,960,629","2,711,251,735,667","3,236,722,086,657","2,918,783,782,418","3,470,810,969,842"
50,4. Dự phòng đầu tư tài chính dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","-1,635,419,525,728","-2,362,342,124,989","-1,381,338,645,945","-1,858,054,720,270","-1,384,283,204,850","-2,033,179,821,267","-1,390,568,638,151","-1,751,071,212,102","-1,381,338,645,945","-1,858,054,720,270","-1,384,283,204,850","-2,033,179,821,267","-1,634,632,062,108","-2,362,342,124,989"
51,5. Đầu tư nắm giữ đến ngày đáo hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","22,200,000,000","200,000,000","20,200,000,000","22,200,000,000","20,200,000,000","2,300,000,000","170,200,000,000","22,200,000,000","20,200,000,000","22,200,000,000","20,200,000,000","2,300,000,000","20,200,000,000","200,000,000"
52,VI. Tài sản dài hạn khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","5,827,652,772,389","5,802,969,463,708","4,965,026,173,813","6,192,213,951,835","5,007,228,748,147","6,313,731,390,137","4,981,601,385,795","6,224,664,837,182","4,960,566,754,280","6,047,205,621,169","5,007,228,748,147","6,313,731,390,137","5,831,851,361,845","5,802,969,463,708"
53,1. Chi phí trả trước dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","4,109,555,311,346","4,132,373,113,546","3,878,015,548,229","4,053,518,695,913","3,829,180,105,247","4,190,573,737,794","3,906,202,056,600","4,078,547,464,814","3,873,541,482,905","4,053,518,605,916","3,829,180,105,247","4,190,573,737,794","4,105,663,753,756","4,132,373,113,546"
54,2. Tài sản thuế thu nhập hoãn lại,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","361,459,641,025","573,138,143,484","316,957,441,129","590,250,662,765","347,645,662,248","621,878,199,493","280,968,953,675","463,643,850,052","316,957,441,131","590,276,214,097","347,645,662,248","621,878,199,493","369,549,788,071","573,138,143,484"
55,4. Tài sản dài hạn khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",,,,,,,,,"6,500,000",,,,,
56,5. Lợi thế thương mại,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,356,637,820,018","1,097,458,206,678","770,053,184,455","1,548,444,593,157","830,402,980,652","1,501,279,452,850","794,430,375,520","1,682,473,522,316","770,061,330,244","1,403,410,801,156","830,402,980,652","1,501,279,452,850","1,356,637,820,018","1,097,458,206,678"
57,TỔNG CỘNG TÀI SẢN,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","69,621,668,811,565","74,106,188,643,250","69,381,573,227,042","75,179,081,701,355","71,466,227,948,478","77,654,333,425,777","59,553,714,956,366","71,450,320,661,485","69,468,457,497,650","75,263,261,987,217","71,466,227,948,478","77,654,333,425,777","69,736,582,212,673","74,106,188,643,250"
58,A. NỢ PHẢI TRẢ,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","34,762,906,154,878","36,986,325,156,561","36,160,340,688,303","37,426,529,364,452","38,411,516,229,254","37,098,456,218,887","27,925,632,076,629","34,700,200,418,918","36,242,811,138,058","37,451,380,195,399","38,411,516,229,254","37,098,456,218,887","34,865,161,920,011","36,986,325,156,561"
59,I. Nợ ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","33,236,172,057,668","35,459,911,331,966","34,657,550,369,676","35,209,875,878,788","36,823,537,071,056","34,779,799,915,438","26,461,884,966,196","32,409,220,718,554","34,716,917,589,722","35,136,190,942,024","36,823,537,071,056","34,779,799,915,438","33,212,624,948,246","35,459,911,331,966"
60,1. Phải trả người bán ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","3,909,021,898,137","4,883,986,718,382","3,634,927,741,389","4,288,538,205,215","3,762,484,406,999","4,266,225,958,843","3,839,529,361,478","4,406,420,647,379","3,635,815,913,027","4,327,380,466,343","3,762,484,406,999","4,266,225,958,843","3,899,458,622,047","4,883,986,718,382"
61,2. Người mua trả tiền trước ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","716,523,946,631","680,280,865,677","827,528,901,413","1,027,310,235,324","647,136,434,328","748,276,115,946","795,060,474,729","794,204,354,099","827,558,406,229","1,027,170,754,439","647,136,434,328","748,276,115,946","730,683,818,371","680,280,865,677"
62,3. Thuế và các khoản phải nộp Nhà nước,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,519,895,518,774","2,323,448,328,636","872,091,106,805","1,418,813,239,191","1,146,481,906,926","1,765,137,192,242","709,533,566,944","1,058,253,496,620","871,782,760,526","1,407,646,528,972","1,146,481,906,926","1,765,137,192,242","1,518,089,737,430","2,323,448,328,636"
63,4. Phải trả người lao động,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","3,963,988,480,176","4,279,831,491,902","2,674,307,021,983","4,114,000,098,868","3,780,274,954,108","4,671,894,191,472","2,033,463,035,856","2,834,667,275,819","2,674,292,325,208","4,113,910,526,976","3,780,274,954,108","4,671,894,191,472","4,004,258,286,723","4,279,831,491,902"
64,5. Chi phí phải trả ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,301,844,433,716","1,259,256,961,998","1,499,817,234,645","1,764,210,254,929","1,764,711,682,476","1,944,556,258,737","1,378,896,545,256","1,439,618,538,959","1,497,511,028,158","1,709,134,946,678","1,764,711,682,476","1,944,556,258,737","1,361,633,343,399","1,259,256,961,998"
65,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","78,456,375,540","92,738,882,375","83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","63,181,791,091","71,558,000,530","83,376,234,795","80,065,381,119","92,239,834,804","73,935,649,016","78,456,375,540","92,738,882,375"
66,15. Doanh thu chưa thực hiện ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","3,818,120,445,324","4,255,288,367,739","2,834,255,573,556","3,009,085,298,598","3,597,436,665,665","3,851,544,261,626","2,690,413,945,514","2,680,656,744,845","2,878,335,540,770","3,047,682,603,019","3,597,436,665,665","3,851,544,261,626","3,857,719,959,480","4,255,288,367,739"
67,9. Phải trả ngắn hạn khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,142,870,623,288","921,707,539,237","735,295,277,788","1,009,584,914,145","829,838,045,469","979,929,594,385","752,076,529,715","875,166,055,400","758,936,954,327","1,018,416,725,644","829,838,045,469","979,929,594,385","1,135,669,503,851","921,707,539,237"
68,10. Vay và nợ thuê tài chính ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","14,838,500,599,070","14,482,311,126,848","20,297,957,472,865","17,169,293,300,900","20,068,976,728,684","15,265,698,995,481","12,940,717,367,758","16,812,946,402,703","20,273,113,276,336","17,075,808,058,335","20,068,976,728,684","15,265,698,995,481","14,731,827,734,263","14,482,311,126,848"
69,11. Dự phòng phải trả ngắn hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","439,410,956,980","439,921,519,215","351,541,132,771","193,729,480,852","313,819,559,681","91,832,732,253","362,034,718,544","305,513,448,641","369,699,818,680","193,729,480,852","313,819,559,681","91,832,732,253","400,566,201,816","439,921,519,215"
70,12. Quỹ khen thưởng phúc lợi,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,507,538,780,032","1,841,139,529,957","846,452,671,666","1,135,245,469,647","820,136,851,916","1,120,768,965,437","896,977,629,311","1,130,215,753,559","846,495,331,666","1,135,245,469,647","820,136,851,916","1,120,768,965,437","1,494,261,365,326","1,841,139,529,957"
71,II. Nợ dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","1,526,734,097,210","1,526,413,824,595","1,502,790,318,627","2,216,653,485,664","1,587,979,158,198","2,318,656,303,449","1,463,747,110,433","2,290,979,700,364","1,525,893,548,336","2,315,189,253,375","1,587,979,158,198","2,318,656,303,449","1,652,536,971,765","1,526,413,824,595"
72,1. Phải trả người bán dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",,,,,"37,931,559,822",,,,,,"37,931,559,822",,,
73,2. Người mua trả tiền trước dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",,,,,"15,024,071,903",,,,,,"15,024,071,903",,,
74,3. Chi phí phải trả dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",,,,,"819,945,832,396",,,,,,"819,945,832,396",,,
75,6. Doanh thu chưa thực hiện dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","165,310,361,334","131,344,534,204","165,089,059,171","152,713,969,575","134,553,566,063","165,438,929,884","155,550,755,872","153,525,056,336","165,628,633,365","159,007,277,466","134,553,566,063","165,438,929,884","165,395,700,503","131,344,534,204"
76,7. Phải trả dài hạn khác,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","57,214,240,047","191,037,700,758","49,177,069,271","219,224,831,641","41,717,073,177","216,214,029,085","36,588,941,436","210,969,400,321","42,155,775,133","219,010,304,552","41,717,073,177","216,214,029,085","65,983,248,055","191,037,700,758"
77,8. Vay và nợ thuê tài chính dài hạn,Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,","875,108,106,008","501,115,537,075","970,923,052,269","1,326,976,410,904","172,070,230,363","1,369,950,961,656","1,032,617,977,638","1,383,603,477,952","1,018,666,687,833","1,419,433,397,807","172,070,230,363","1,369,950,961,656","976,980,862,702","501,115,537,075"
