Indicator,Industry,Stocks,Q1_2023,Q1_2024,Q2_2023,Q2_2024,Q3_2023,Q3_2024,Q4_2023,Q4_2024
"Tỷ số Nợ vay trên Tổng tài sản
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",23.58,25.50,30.57,24.49,28.29,21.52,22.65,20.22
"Tỷ số Nợ vay trên Vốn chủ sở hữu
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",44.73,49.75,64.23,48.94,61.47,41.48,45.56,40.37
"Tỷ số VCSH/Tổng tài sản
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",52.71,51.26,47.59,50.04,46.02,51.88,49.73,50.09
"Tỷ số dòng tiền HĐKD trên doanh thu thuần
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",-10.58,-4.10,0.00,0.00,0.00,0.00,0.00,0.00
"Tỷ số nợ trên Tổng tài sản
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",47.29,48.73,52.41,49.96,53.98,48.12,50.27,49.91
"Tỷ số nợ trên Vốn chủ sở hữu
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",89.71,95.07,110.14,99.85,117.31,92.75,101.09,99.65
"Tỷ số thanh toán bằng tiền mặt
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",0.13,0.21,0.19,0.21,0.21,0.25,0.27,0.27
"Tỷ số thanh toán hiện hành (ngắn hạn)
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",1.29,1.32,1.26,1.32,1.22,1.38,1.26,1.32
"Tỷ số thanh toán nhanh
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",0.68,0.81,0.80,0.81,0.77,0.84,0.78,0.89
"Tỷ số thanh toán nhanh (Đã loại trừ HTK, Phải thu ngắn hạn  Tham khảo))
Lần",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",1.18,1.24,1.17,1.24,1.15,1.30,1.19,1.26
"Vòng quay hàng tồn kho
Vòng",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",3.03,4.20,3.30,4.43,4.24,4.20,5.27,5.93
"Vòng quay phải thu khách hàng
Vòng",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",1.29,1.37,1.39,1.38,1.44,1.43,1.48,1.61
"Vòng quay phải trả nhà cung cấp
Vòng",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",2.18,2.27,2.49,2.65,2.72,2.74,2.74,2.34
"Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định)
Vòng",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",0.96,1.00,1.01,1.07,1.09,1.15,1.08,1.21
"Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản)
Vòng",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",0.23,0.22,0.21,0.24,0.23,0.25,0.25,0.24
"Vòng quay vốn chủ sở hữu
Vòng",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",0.43,0.44,0.44,0.47,0.51,0.47,0.49,0.49
"XDCBDD/Tài sản cố định
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",13.99,13.99,17.45,14.11,13.83,14.49,13.00,18.60
"Đầu tư tài chính ngắn hạn/Tài sản ngắn hạn
%",Phần mềm và dịch vụ,"FPT, ITD, CMG, ELC, PIA,",42.52,45.17,48.36,45.22,45.55,42.45,40.97,46.92
