Date,Loi nhuan
8/7/2024,1.87381E+12
9/7/2024,1.87381E+12
10/7/2024,1.87381E+12
11/7/2024,1.87381E+12
12/7/2024,1.87381E+12
13/7/2024,1.87381E+12
14/7/2024,1.87381E+12
15/7/2024,1.87381E+12
16/7/2024,1.87381E+12
17/7/2024,1.87381E+12
18/7/2024,1.87381E+12
19/7/2024,1.87381E+12
20/7/2024,1.87381E+12
21/7/2024,1.87381E+12
22/7/2024,1.87381E+12
23/7/2024,1.87381E+12
24/7/2024,1.87381E+12
25/7/2024,1.87381E+12
26/7/2024,1.87381E+12
27/7/2024,1.87381E+12
28/7/2024,1.87381E+12
29/7/2024,1.87381E+12
30/7/2024,1.87381E+12
31/7/2024,1.87381E+12
1/8/2024,1.87381E+12
2/8/2024,1.87381E+12
3/8/2024,1.87381E+12
4/8/2024,1.87381E+12
5/8/2024,1.87381E+12
6/8/2024,1.87381E+12
7/8/2024,1.87381E+12
8/8/2024,1.87381E+12
9/8/2024,1.87381E+12
10/8/2024,1.87381E+12
11/8/2024,1.87381E+12
12/8/2024,1.87381E+12
13/8/2024,1.87381E+12
14/8/2024,1.87381E+12
15/8/2024,1.87381E+12
16/8/2024,1.87381E+12
17/8/2024,1.87381E+12
18/8/2024,1.87381E+12
19/8/2024,1.87381E+12
20/8/2024,1.87381E+12
21/8/2024,1.87381E+12
22/8/2024,1.87381E+12
23/8/2024,1.87381E+12
24/8/2024,1.87381E+12
25/8/2024,1.87381E+12
26/8/2024,1.87381E+12
27/8/2024,1.87381E+12
28/8/2024,1.87381E+12
29/8/2024,1.87381E+12
30/8/2024,1.87381E+12
31/8/2024,1.87381E+12
1/9/2024,1.87381E+12
2/9/2024,1.87381E+12
3/9/2024,1.87381E+12
4/9/2024,1.87381E+12
5/9/2024,1.87381E+12
6/9/2024,1.87381E+12
7/9/2024,1.87381E+12
8/9/2024,1.87381E+12
9/9/2024,1.87381E+12
10/9/2024,1.87381E+12
11/9/2024,1.87381E+12
12/9/2024,1.87381E+12
13/9/2024,1.87381E+12
14/9/2024,1.87381E+12
15/9/2024,1.87381E+12
16/9/2024,1.87381E+12
17/9/2024,1.87381E+12
18/9/2024,1.87381E+12
19/9/2024,1.87381E+12
20/9/2024,1.87381E+12
21/9/2024,1.87381E+12
22/9/2024,1.87381E+12
23/9/2024,1.87381E+12
24/9/2024,1.87381E+12
25/9/2024,1.87381E+12
26/9/2024,1.87381E+12
27/9/2024,1.87381E+12
28/9/2024,1.87381E+12
29/9/2024,1.87381E+12
30/9/2024,1.87381E+12
1/10/2024,2.08885E+12
2/10/2024,2.08885E+12
3/10/2024,2.08885E+12
4/10/2024,2.08885E+12
5/10/2024,2.08885E+12
6/10/2024,2.08885E+12
7/10/2024,2.08885E+12
8/10/2024,2.08885E+12
9/10/2024,2.08885E+12
10/10/2024,2.08885E+12
11/10/2024,2.08885E+12
12/10/2024,2.08885E+12
13/10/2024,2.08885E+12
14/10/2024,2.08885E+12
15/10/2024,2.08885E+12
16/10/2024,2.08885E+12
17/10/2024,2.08885E+12
18/10/2024,2.08885E+12
19/10/2024,2.08885E+12
20/10/2024,2.08885E+12
21/10/2024,2.08885E+12
22/10/2024,2.08885E+12
23/10/2024,2.08885E+12
24/10/2024,2.08885E+12
25/10/2024,2.08885E+12
26/10/2024,2.08885E+12
27/10/2024,2.08885E+12
28/10/2024,2.08885E+12
29/10/2024,2.08885E+12
30/10/2024,2.08885E+12
31/10/2024,2.08885E+12
1/11/2024,2.08885E+12
2/11/2024,2.08885E+12
3/11/2024,2.08885E+12
4/11/2024,2.08885E+12
5/11/2024,2.08885E+12
6/11/2024,2.08885E+12
7/11/2024,2.08885E+12
8/11/2024,2.08885E+12
9/11/2024,2.08885E+12
10/11/2024,2.08885E+12
11/11/2024,2.08885E+12
12/11/2024,2.08885E+12
13/11/2024,2.08885E+12
14/11/2024,2.08885E+12
15/11/2024,2.08885E+12
16/11/2024,2.08885E+12
17/11/2024,2.08885E+12
18/11/2024,2.08885E+12
19/11/2024,2.08885E+12
20/11/2024,2.08885E+12
21/11/2024,2.08885E+12
22/11/2024,2.08885E+12
23/11/2024,2.08885E+12
24/11/2024,2.08885E+12
25/11/2024,2.08885E+12
26/11/2024,2.08885E+12
27/11/2024,2.08885E+12
28/11/2024,2.08885E+12
29/11/2024,2.08885E+12
30/11/2024,2.08885E+12
1/12/2024,2.08885E+12
2/12/2024,2.08885E+12
3/12/2024,2.08885E+12
4/12/2024,2.08885E+12
5/12/2024,2.08885E+12
6/12/2024,2.08885E+12
7/12/2024,2.08885E+12
8/12/2024,2.08885E+12
9/12/2024,2.08885E+12
10/12/2024,2.08885E+12
11/12/2024,2.08885E+12
12/12/2024,2.08885E+12
13/12/2024,2.08885E+12
14/12/2024,2.08885E+12
15/12/2024,2.08885E+12
16/12/2024,2.08885E+12
17/12/2024,2.08885E+12
18/12/2024,2.08885E+12
19/12/2024,2.08885E+12
20/12/2024,2.08885E+12
21/12/2024,2.08885E+12
22/12/2024,2.08885E+12
23/12/2024,2.08885E+12
24/12/2024,2.08885E+12
25/12/2024,2.08885E+12
26/12/2024,2.08885E+12
27/12/2024,2.08885E+12
28/12/2024,2.08885E+12
29/12/2024,2.08885E+12
30/12/2024,2.08885E+12
31/12/2024,2.08885E+12
1/1/2025,2.08699E+12
2/1/2025,2.08699E+12
3/1/2025,2.08699E+12
4/1/2025,2.08699E+12
5/1/2025,2.08699E+12
6/1/2025,2.08699E+12
7/1/2025,2.08699E+12
8/1/2025,2.08699E+12
9/1/2025,2.08699E+12
10/1/2025,2.08699E+12
11/1/2025,2.08699E+12
12/1/2025,2.08699E+12
13/1/2025,2.08699E+12
14/1/2025,2.08699E+12
15/1/2025,2.08699E+12
16/1/2025,2.08699E+12
17/1/2025,2.08699E+12
18/1/2025,2.08699E+12
19/1/2025,2.08699E+12
20/1/2025,2.08699E+12
21/1/2025,2.08699E+12
22/1/2025,2.08699E+12
23/1/2025,2.08699E+12
24/1/2025,2.08699E+12
25/1/2025,2.08699E+12
26/1/2025,2.08699E+12
27/1/2025,2.08699E+12
28/1/2025,2.08699E+12
29/1/2025,2.08699E+12
30/1/2025,2.08699E+12
31/1/2025,2.08699E+12
1/2/2025,2.08699E+12
2/2/2025,2.08699E+12
3/2/2025,2.08699E+12
4/2/2025,2.08699E+12
5/2/2025,2.08699E+12
6/2/2025,2.08699E+12
7/2/2025,2.08699E+12
8/2/2025,2.08699E+12
9/2/2025,2.08699E+12
10/2/2025,2.08699E+12
11/2/2025,2.08699E+12
12/2/2025,2.08699E+12
13/2/2025,2.08699E+12
14/2/2025,2.08699E+12
15/2/2025,2.08699E+12
16/2/2025,2.08699E+12
17/2/2025,2.08699E+12
18/2/2025,2.08699E+12
19/2/2025,2.08699E+12
20/2/2025,2.08699E+12
21/2/2025,2.08699E+12
22/2/2025,2.08699E+12
23/2/2025,2.08699E+12
24/2/2025,2.08699E+12
25/2/2025,2.08699E+12
26/2/2025,2.08699E+12
27/2/2025,2.08699E+12
28/2/2025,2.08699E+12
1/3/2025,2.08699E+12
2/3/2025,2.08699E+12
3/3/2025,2.08699E+12
4/3/2025,2.08699E+12
5/3/2025,2.08699E+12
6/3/2025,2.08699E+12
7/3/2025,2.08699E+12
8/3/2025,2.08699E+12
9/3/2025,2.08699E+12
10/3/2025,2.08699E+12
11/3/2025,2.08699E+12
12/3/2025,2.08699E+12
