StockID,Date,Total Volume,Total Value,Market Cap,Closing Price,Price Change,Price Change %,Matched Volume,Matched Value,sentiment,sentiment_score
FPT,2024-12-25,4668104,698840,221837233,150800,400,0.27,2513100,378912,positive,2.0
FPT,2024-12-24,4037903,607236,221248805,150400,600,0.4,2300900,345204,neutral,1.0
FPT,2024-12-23,4310913,648105,220366164,149800,300,0.2,2514800,375097,negative,0.0
FPT,2024-12-20,4735902,710815,219924843,149500,1400,0.95,3538900,529889,neutral,1.0
FPT,2024-12-19,5825454,864563,217865346,148100,-600,-0.4,4805200,711171,neutral,1.0
FPT,2024-12-18,3539440,526858,218747988,148700,700,0.47,2923400,435819,neutral,1.0
FPT,2024-12-17,7296205,1090438,217718239,148000,-1900,-1.27,5947500,885470,positive,2.0
FPT,2024-12-16,5671112,856142,220513271,149900,400,0.27,3291100,493650,negative,0.0
FPT,2024-12-13,4864805,733167,219924843,149500,-700,-0.47,3379800,506936,neutral,1.0
FPT,2024-12-12,5657907,854566,220954591,150200,-300,-0.2,4147900,622837,negative,0.0
FPT,2024-12-11,9266607,1402471,221395912,150500,1000,0.67,4816600,726231,neutral,1.0
FPT,2024-12-10,4287206,637205,219924843,149500,2500,1.7,3597200,533506,neutral,1.0
FPT,2024-12-09,5899005,878028,216247170,147000,-2500,-1.67,4539000,667467,positive,2.0
FPT,2024-12-06,5003200,748645,219924843,149500,1000,0.67,4541200,678952,positive,2.0
FPT,2024-12-05,8805101,1290825,218453774,148500,5000,3.48,4849200,707111,positive,2.0
FPT,2024-12-04,7749101,1128988,211098428,143500,-1500,-1.03,5609100,813743,positive,2.0
FPT,2024-12-03,6971700,1003777,213305032,145000,2800,1.97,5103700,734265,positive,2.0
FPT,2024-12-02,7940530,1144117,209186038,142200,-1100,-0.77,6616800,949437,negative,0.0
FPT,2024-11-29,13487700,1924458,212275283,144300,4900,3.52,11586700,1652176,positive,2.0
FPT,2024-11-28,7158700,993870,205067044,139400,500,0.36,4742700,660343,neutral,1.0
FPT,2024-11-27,13316300,1835254,204331510,138900,3700,2.74,9814300,1358066,negative,0.0
FPT,2024-11-26,4501100,607440,198888554,135200,1300,0.97,4176100,562870,positive,2.0
FPT,2024-11-25,6637700,910555,196976164,133900,0,0.0,1849700,247302,positive,2.0
FPT,2024-11-22,5575900,755990,196976164,133900,900,0.68,2915900,389768,positive,2.0
FPT,2024-11-21,4329001,565732,195652201,133000,600,0.45,3176700,419155,neutral,1.0
FPT,2024-11-20,9620300,1247809,194769560,132400,2400,1.85,8460300,1092049,neutral,1.0
FPT,2024-11-19,9152800,1211171,191238994,130000,-4000,-2.99,7642800,1000801,negative,0.0
FPT,2024-11-18,3993401,533015,197123271,134000,100,0.07,3903400,520995,neutral,1.0
FPT,2024-11-15,6563600,878197,196976164,133900,-2100,-1.54,6563600,878197,negative,0.0
FPT,2024-11-14,4911301,676812,200065409,136000,-1800,-1.31,4736300,652751,neutral,1.0
FPT,2024-11-13,3625400,497656,202713333,137800,1000,0.73,3455400,474344,positive,2.0
FPT,2024-11-12,2964700,405661,201242264,136800,-1500,-1.08,2914700,398840,negative,0.0
FPT,2024-11-11,5292000,728542,203448868,138300,2500,1.84,5292000,728542,positive,2.0
FPT,2024-11-08,2106300,286090,199771195,135800,700,0.52,2106300,286090,neutral,1.0
FPT,2024-11-07,4526500,614647,198741447,135100,500,0.37,3570500,484914,neutral,1.0
FPT,2024-11-06,1801500,241407,198005912,134600,2000,1.51,1801500,241407,neutral,0.0
FPT,2024-11-05,2741100,366993,195063774,132600,-200,-0.15,1657100,220031,neutral,1.0
FPT,2024-11-04,3757900,501176,195357988,132800,-1800,-1.34,3182900,424072,neutral,1.0
FPT,2024-11-01,2667500,358246,198005912,134600,-1300,-0.96,2667500,358246,positive,2.0
FPT,2024-10-31,1341700,182016,199918302,135900,0,0.0,1241700,168453,positive,2.0
FPT,2024-10-30,2059800,279238,199918302,135900,500,0.37,1709800,231778,negative,0.0
FPT,2024-10-29,2649200,357688,199182767,135400,500,0.37,2459200,332036,positive,2.0
FPT,2024-10-28,1506001,202644,198447233,134900,900,0.67,1506000,202644,positive,2.0
FPT,2024-10-25,1839000,246286,197123271,134000,-300,-0.22,1839000,246286,neutral,0.0
FPT,2024-10-24,2277201,305372,197564591,134300,100,0.07,2277200,305372,neutral,1.0
FPT,2024-10-23,3015101,403480,197417484,134200,1100,0.83,3015100,403480,negative,0.0
FPT,2024-10-22,6174500,828775,195799308,133100,-2400,-1.77,6009200,806437,positive,2.0
FPT,2024-10-21,2861300,390792,199329874,135500,-1500,-1.09,2681300,366269,neutral,1.0
FPT,2024-10-18,2169401,297523,201536478,137000,0,0.0,2169400,297523,negative,0.0
FPT,2024-10-17,3769200,518205,201536478,137000,700,0.51,2579200,351605,positive,2.0
FPT,2024-10-16,2796001,381672,200506730,136300,-700,-0.51,2756000,376146,positive,2.0
FPT,2024-10-15,2910800,400187,201536478,137000,-600,-0.44,2860800,392997,neutral,1.0
FPT,2024-10-14,5635300,781315,200957654,137600,-2000,-1.43,5605300,777265,negative,0.0
FPT,2024-10-11,3863600,543221,203878550,139600,-2100,-1.48,3813600,536152,neutral,1.0
FPT,2024-10-10,10102200,1412918,206945491,141700,6300,4.65,9952200,1392002,positive,2.0
FPT,2024-10-09,2819900,381343,197744668,135400,1600,1.2,2619900,354277,neutral,1.0
FPT,2024-10-08,2108601,282819,195407951,133800,-300,-0.22,2108600,282819,positive,2.0
FPT,2024-10-07,1901501,254742,195846086,134100,0,0.0,1330500,178342,neutral,1.0
FPT,2024-10-04,1468400,196794,195846086,134100,100,0.07,1468400,196794,positive,2.0
FPT,2024-10-03,3631801,491217,195700041,134000,-1400,-1.03,2300800,311077,positive,2.0
FPT,2024-10-02,2369200,320553,197744668,135400,-500,-0.37,1719800,232879,positive,2.0
FPT,2024-10-01,6887000,936206,198474892,135900,1400,1.04,4725900,642311,positive,2.0
FPT,2024-09-30,3278500,438011,196430265,134500,300,0.22,3030500,404863,neutral,1.0
FPT,2024-09-27,3552800,475614,195992130,134200,-100,-0.07,3352800,448848,neutral,1.0
FPT,2024-09-26,3080600,413686,196138175,134300,-500,-0.37,2815600,378102,neutral,0.0
FPT,2024-09-25,4679900,628229,196868399,134800,300,0.22,4479900,601385,neutral,1.0
FPT,2024-09-24,2755516,367917,196430265,134500,500,0.37,2011400,269631,neutral,1.0
FPT,2024-09-23,3482200,462669,195700041,134000,-1300,-0.96,2441200,327877,negative,0.0
FPT,2024-09-20,3719700,506352,197598623,135300,100,0.07,3719700,506352,negative,0.0
FPT,2024-09-19,5154300,695884,197452579,135200,600,0.45,5154300,695884,neutral,1.0
FPT,2024-09-18,5449600,731997,196576310,134600,1700,1.28,5379600,722775,positive,2.0
FPT,2024-09-17,3621400,482742,194093548,132900,1800,1.37,2651400,350670,neutral,1.0
FPT,2024-09-16,2295700,302263,191464741,131100,-1900,-1.43,1915700,252145,neutral,1.0
FPT,2024-09-13,3935700,523101,194239593,133000,700,0.53,3186800,423783,negative,0.0
FPT,2024-09-12,4368000,576317,193217279,132300,1700,1.3,4118000,543297,neutral,1.0
FPT,2024-09-11,3590400,468331,190734517,130600,600,0.46,3190400,416155,positive,2.0
FPT,2024-09-10,4195101,546653,189858249,130000,-1300,-0.99,4195100,546653,neutral,1.0
FPT,2024-09-09,2885201,377085,191756831,131300,-800,-0.61,2885200,377085,negative,0.0
FPT,2024-09-06,4251400,560476,192925190,132100,1500,1.15,3821400,503724,neutral,1.0
FPT,2024-09-05,8055600,1051193,190734517,130600,-2400,-1.8,8055600,1051193,neutral,1.0
FPT,2024-09-04,4735200,626701,194239593,133000,-1800,-1.34,4535200,600247,positive,2.0
FPT,2024-08-30,3379800,454881,196868399,134800,1100,0.82,3315800,446145,positive,2.0
FPT,2024-08-29,2637701,351244,195261906,133700,400,0.3,2092700,278675,negative,0.0
FPT,2024-08-28,2909701,388745,194677727,133300,800,0.6,2711500,362337,negative,0.0
FPT,2024-08-27,2989900,393505,193509369,132500,1000,0.76,2338500,308172,neutral,1.0
FPT,2024-08-26,2758200,364394,192048921,131500,-1600,-1.2,2590300,342213,positive,2.0
FPT,2024-08-23,3325001,442160,194385638,133100,-700,-0.52,3055000,406247,neutral,1.0
FPT,2024-08-22,3560500,477023,195407951,133800,300,0.22,3020500,404697,neutral,1.0
FPT,2024-08-21,6471900,855021,194969817,133500,2000,1.52,6119700,808777,negative,0.0
FPT,2024-08-20,3984400,523952,192048921,131500,1000,0.77,3741400,492119,positive,2.0
FPT,2024-08-19,2554862,333416,190588473,130500,-100,-0.08,2498400,326051,positive,2.0
FPT,2024-08-16,5486600,714680,190734517,130600,1900,1.48,5093600,663590,positive,2.0
FPT,2024-08-15,2305600,296851,187959666,128700,-800,-0.62,2257600,290611,neutral,1.0
FPT,2024-08-14,3822200,489612,189128025,129500,-200,-0.15,2862200,372246,positive,2.0
FPT,2024-08-13,4362901,563715,189420114,129700,-300,-0.23,4097900,529462,neutral,1.0
FPT,2024-08-12,6775001,872913,189858249,130000,3100,2.44,6183500,797496,positive,2.0
FPT,2024-08-09,6011400,748943,185330860,126900,5500,4.53,5496400,684744,neutral,1.0
FPT,2024-08-08,3231431,393129,177298395,121400,-600,-0.49,2654900,322995,negative,0.0
FPT,2024-08-07,2822800,341315,178174664,122000,1200,0.99,2822800,341315,neutral,1.0
FPT,2024-08-06,7021850,847027,176422126,120800,2200,1.85,6728100,812059,neutral,1.0
FPT,2024-08-05,10415200,1254100,173209141,118600,-4600,-3.73,10415200,1254100,negative,0.0
FPT,2024-08-02,10157200,1246526,179927202,123200,-1600,-1.28,9944700,1221179,positive,2.0
FPT,2024-08-01,6870301,866879,182263919,124800,-3800,-2.95,6870300,866879,negative,0.0
FPT,2024-07-31,3094200,395468,187813621,128600,600,0.47,2869200,366616,negative,0.0
FPT,2024-07-30,2423800,309900,186937352,128000,-1000,-0.78,2373800,303850,negative,0.0
FPT,2024-07-29,5009800,651610,188397801,129000,1000,0.78,4859800,631075,neutral,1.0
FPT,2024-07-26,6683700,826250,186937352,128000,3000,2.4,3951100,497176,negative,0.0
FPT,2024-07-25,3248401,405880,182556008,125000,-1000,-0.79,2563400,319819,negative,0.0
FPT,2024-07-24,4171700,523540,184016456,126000,500,0.4,4151700,520860,neutral,1.0
FPT,2024-07-23,5411600,684282,183286232,125500,1400,1.13,5311600,672732,neutral,1.0
FPT,2024-07-22,6216900,772289,181241605,124100,-1900,-1.51,6216900,772289,positive,2.0
FPT,2024-07-19,6576700,836050,184016456,126000,-1900,-1.49,6551700,832650,negative,0.0
FPT,2024-07-18,10825201,1395242,186791308,127900,-4000,-3.03,10800200,1391942,positive,2.0
FPT,2024-07-17,6970100,921795,192633100,131900,-2100,-1.57,6970100,921795,negative,0.0
FPT,2024-07-16,4322200,576151,195700041,134000,1300,0.98,4002300,533549,positive,2.0
FPT,2024-07-15,3067200,408778,193801458,132700,-1100,-0.82,3067200,408778,negative,0.0
FPT,2024-07-12,3590000,480953,195407951,133800,800,0.6,3553400,476050,positive,2.0
FPT,2024-07-11,6882100,919164,194239593,133000,-1000,-0.75,6842100,913790,neutral,1.0
FPT,2024-07-10,6337700,859025,195700041,134000,-3500,-2.55,6294700,853168,negative,0.0
FPT,2024-07-09,9696100,1329763,200811609,137500,-2100,-1.5,9676100,1327023,positive,2.0
FPT,2024-07-08,6105700,848068,203878550,139600,900,0.65,5865700,814734,positive,2.0
FPT,2024-07-05,7809400,1080849,202564147,138700,2900,2.14,7789400,1078089,neutral,1.0
FPT,2024-07-04,8117900,1088488,198328847,135800,4800,3.66,8117900,1088488,positive,2.0
FPT,2024-07-03,7884101,1038018,191318697,131000,3000,2.34,7634100,1005103,neutral,1.0
FPT,2024-07-02,7560001,983351,186937352,128000,-600,-0.47,6720600,873661,negative,0.0
FPT,2024-07-01,6454000,833530,187813621,128600,-1900,-1.46,6376000,822641,neutral,1.0
FPT,2024-06-28,6633000,873567,190588473,130500,-2300,-1.73,6633000,873567,negative,0.0
FPT,2024-06-27,6527700,863129,193947503,132800,1000,0.76,6403700,847765,neutral,1.0
FPT,2024-06-26,7221400,941975,192487055,131800,1800,1.38,7147400,932098,neutral,1.0
FPT,2024-06-25,14050143,1821409,189858249,130000,-2100,-1.59,13706800,1776774,neutral,1.0
FPT,2024-06-24,14390900,1936123,192925190,132100,-4000,-2.94,13186900,1762003,neutral,1.0
FPT,2024-06-21,7653300,1034712,198766982,136100,2800,2.1,7653300,1034712,negative,0.0
FPT,2024-06-20,11060700,1477679,194677727,133300,1800,1.37,10465700,1404641,neutral,1.0
FPT,2024-06-19,10269200,1321426,192048921,131500,3500,2.73,9669200,1249784,neutral,1.0
FPT,2024-06-18,6936800,893871,162556016,128000,-800,-0.62,6680000,860576,positive,2.0
FPT,2024-06-17,4867600,631221,163571991,128800,-2200,-1.68,4867600,631221,neutral,1.0
FPT,2024-06-14,6607200,861029,166365923,131000,1000,0.77,6406200,834853,negative,0.0
FPT,2024-06-13,8676200,1137718,165095954,130000,-2000,-1.52,8136200,1066858,positive,2.0
FPT,2024-06-12,11215500,1464082,167635892,132000,5500,4.35,11215500,1464082,positive,2.0
FPT,2024-06-11,8418500,1236119,186050440,146500,2500,1.74,6327300,915257,positive,2.0
FPT,2024-06-10,3775400,542408,182875518,144000,2000,1.41,3775400,542408,neutral,1.0
FPT,2024-06-07,3976600,561621,180335580,142000,2400,1.72,3756900,530586,neutral,1.0
FPT,2024-06-06,5231800,734435,177287655,139600,-500,-0.36,5211800,731829,positive,2.0
FPT,2024-06-05,6341801,898304,177922639,140100,1000,0.72,6321600,895476,positive,2.0
FPT,2024-06-04,7049800,979413,176652671,139100,2200,1.61,7009800,973897,positive,2.0
FPT,2024-06-03,7773600,1062261,173858739,136900,2300,1.71,7773600,1062261,positive,2.0
FPT,2024-05-31,2696600,362972,170937811,134600,-400,-0.3,2633500,354488,negative,0.0
FPT,2024-05-30,7301300,970579,171445798,135000,-700,-0.52,7261300,965211,negative,0.0
FPT,2024-05-29,6107600,830817,172334776,135700,-1300,-0.95,5837600,793587,negative,0.0
FPT,2024-05-28,5419500,728079,173985736,137000,4200,3.16,4625300,623833,negative,0.0
FPT,2024-05-27,6121100,808830,168651867,132800,900,0.68,5157800,682267,positive,2.0
FPT,2024-05-24,14134601,1885240,167508895,131900,-5600,-4.07,13375600,1782682,neutral,1.0
FPT,2024-05-23,3769000,514269,174620720,137500,-500,-0.36,3621500,493717,negative,0.0
FPT,2024-05-22,7132400,970471,175255705,138000,2000,1.47,4511800,621721,negative,0.0
FPT,2024-05-21,4206300,566508,172715767,136000,3000,2.26,3471900,467061,positive,2.0
FPT,2024-05-20,3143500,423354,168905860,133000,-1500,-1.12,2013500,270495,positive,2.0
FPT,2024-05-17,3049001,410104,170810814,134500,-900,-0.66,2306400,310275,neutral,1.0
FPT,2024-05-16,4043900,543764,171953786,135400,1300,0.97,3119000,423780,neutral,0.0
FPT,2024-05-15,4717700,627531,170302826,134100,3600,2.76,3653100,485070,positive,2.0
FPT,2024-05-14,3151900,414149,165730938,130500,800,0.62,2304600,300958,neutral,0.0
FPT,2024-05-13,4360200,577287,164714963,129700,-1300,-0.99,1852200,240663,neutral,1.0
FPT,2024-05-10,4168700,543191,166365923,131000,700,0.54,3789700,494172,positive,2.0
FPT,2024-05-09,3041600,399651,165476944,130300,-700,-0.53,2203300,288297,neutral,1.0
FPT,2024-05-08,3824500,503976,166365923,131000,-300,-0.23,3017800,392617,positive,2.0
FPT,2024-05-07,3874168,508754,166746913,131300,3700,2.9,3122800,406192,neutral,0.0
FPT,2024-05-06,2744600,346861,162048028,127600,1700,1.35,2704600,341473,neutral,1.0
FPT,2024-05-03,4665500,601728,159889081,125900,-1400,-1.1,3191200,403104,positive,2.0
FPT,2024-05-02,6888000,890470,161667038,127300,4100,3.33,3469300,439885,negative,0.0
FPT,2024-04-26,6053000,769750,156460165,123200,0,0.0,3396500,419623,positive,2.0
FPT,2024-04-25,9215500,1158686,156460165,123200,3100,2.58,5707700,708164,negative,0.0
FPT,2024-04-24,10945700,1299239,152523262,120100,7800,6.95,10158700,1204720,positive,2.0
FPT,2024-04-23,4233700,472701,142617505,112300,2000,1.81,4037600,451063,neutral,1.0
FPT,2024-04-22,2505218,276687,140077567,110300,1300,1.19,2397300,264104,positive,2.0
FPT,2024-04-19,7851100,887183,138426607,109000,-2800,-2.5,5361100,589379,negative,0.0
FPT,2024-04-17,2998100,344269,141982520,111800,-1200,-1.06,1943300,218044,neutral,1.0
FPT,2024-04-16,4523200,513918,143506483,113000,1400,1.25,3642700,408786,positive,2.0
FPT,2024-04-15,4289300,491287,141728526,111600,-3900,-3.38,3701900,418743,neutral,1.0
FPT,2024-04-12,1862520,216516,146681405,115500,600,0.52,1367300,157333,positive,2.0
FPT,2024-04-11,1623300,186677,145919424,114900,1100,0.97,1549400,177683,negative,0.0
FPT,2024-04-10,1982020,227719,144522458,113800,800,0.71,1791100,204637,neutral,1.0
FPT,2024-04-09,1432500,161738,143506483,113000,400,0.36,1432500,161738,neutral,0.0
FPT,2024-04-08,1952000,220502,142998495,112600,-1100,-0.97,1952000,220502,positive,2.0
FPT,2024-04-05,2840844,322836,144395461,113700,-300,-0.26,2759000,312859,neutral,0.0
FPT,2024-04-04,2930000,340949,144776452,114000,-1100,-0.96,2359500,270720,positive,2.0
FPT,2024-04-03,2875000,336276,146173418,115100,-1900,-1.62,2549000,295493,negative,0.0
FPT,2024-04-02,2745500,322787,148586358,117000,200,0.17,2285800,265370,positive,2.0
FPT,2024-04-01,3243600,387065,148332365,116800,300,0.26,1974600,229434,positive,2.0
FPT,2024-03-29,2594300,310422,147951374,116500,-600,-0.51,1343500,156545,neutral,1.0
FPT,2024-03-28,2854400,333719,148713355,117100,1900,1.65,2803200,327411,positive,2.0
FPT,2024-03-27,1467800,168909,146300414,115200,200,0.17,1320200,151372,neutral,0.0
FPT,2024-03-26,3110290,365684,146046421,115000,1000,0.88,1693300,193338,neutral,1.0
